	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus845	0.0451	0.0193	0.0829	
Locus846	0.0915	0.0475	0.1683	
Locus847	0.1116	0.062	0.1755	
Locus848	0.0756	0.0358	0.1371	
Locus849	0.1411	0.0833	0.1895	
Locus850	0.0526	0.0182	0.103	
Locus851	0.0887	0.0396	0.1553	
Locus852	0.051	0.0237	0.092	
Locus853	0.1039	0.0573	0.1624	
Locus854	0.0581	0.0284	0.1108	
Locus855	0.0486	0.0161	0.0848	
Locus856	0.1199	0.0433	0.2007	
Locus857	0.0548	0.0291	0.1044	
Locus858	0.2386	0.1875	0.3061	
Locus859	0.0877	0.0442	0.145	
Locus860	0.0878	0.0383	0.1472	
Locus861	0.0974	0.0527	0.1549	
Locus862	0.0696	0.0267	0.1558	
Locus863	0.0448	0.0165	0.0839	
Locus864	0.0884	0.0458	0.1429	
Locus865	0.08	0.0384	0.1361	
Locus866	0.1142	0.0668	0.1642	
Locus867	0.0379	0.0142	0.0802	
Locus868	0.0864	0.0458	0.1489	
Locus869	0.0881	0.0423	0.1422	
Locus870	0.0955	0.0504	0.1529	
Locus871	0.13	0.0761	0.1766	
Locus872	0.0965	0.0548	0.1452	
Locus873	0.1444	0.0962	0.2104	
Locus874	0.0931	0.0506	0.146	
Locus875	0.103	0.0625	0.1586	
Locus876	0.0565	0.024	0.0978	
Locus877	0.1158	0.0604	0.1931	
Locus878	0.1755	0.105	0.2437	
Locus879	0.027	0.0072	0.0609	
Locus880	0.0433	0.0176	0.0783	
Locus881	0.0928	0.0396	0.1663	
Locus882	0.0598	0.0208	0.1044	
Locus883	0.1005	0.0468	0.1655	
Locus884	0.0853	0.0389	0.1513	
Locus885	0.0424	0.0166	0.0679	
Locus886	0.0435	0.0194	0.0877	
Locus887	0.0599	0.0271	0.1094	
Locus888	0.0777	0.0391	0.1263	
Locus889	0.0949	0.0308	0.1506	
Locus890	0.1084	0.057	0.1653	
Locus891	0.1333	0.0842	0.1961	
Locus892	0.071	0.0339	0.1299	
Locus893	0.1074	0.0593	0.1648	
Locus894	0.0348	0.0129	0.0625	
Locus895	0.1147	0.07	0.1805	
Locus896	0.1344	0.0806	0.2077	
Locus897	0.0481	0.0147	0.0902	
Locus898	0.0382	0.0145	0.0792	
Locus899	0.1542	0.0876	0.2125	
Locus900	0.0996	0.051	0.1549	
Locus901	0.0937	0.049	0.1455	
Locus902	0.0593	0.0227	0.1191	
Locus903	0.0737	0.038	0.1193	
Locus904	0.0667	0.0261	0.1156	
Locus905	0.1039	0.0587	0.1578	
Locus906	0.1516	0.0896	0.2077	
Locus907	0.1493	0.0874	0.2281	
Locus908	0.1106	0.05	0.1841	
Locus909	0.0421	0.0143	0.08	
Locus910	0.0412	0.015	0.0783	
Locus911	0.0734	0.0368	0.1308	
Locus912	0.1167	0.066	0.1791	
Locus913	0.1888	0.1275	0.2423	
Locus914	0.0791	0.0422	0.1263	
Locus915	0.0876	0.0337	0.1572	
Locus916	0.118	0.0558	0.1981	
Locus917	0.0899	0.0518	0.1479	
Locus918	0.1341	0.0801	0.2044	
Locus919	0.0989	0.0605	0.1598	
Locus920	0.0693	0.0308	0.1283	
Locus921	0.0313	0.0103	0.0646	
Locus922	0.0315	0.0123	0.0634	
Locus923	0.0885	0.0419	0.1557	
Locus924	0.0482	0.0214	0.0801	
Locus925	0.0365	0.011	0.0997	
Locus926	0.0855	0.0462	0.1439	
Locus927	0.076	0.0326	0.1303	
Locus928	0.1193	0.0646	0.1785	
Locus929	0.0478	0.0173	0.093	
Locus930	0.0403	0.01	0.0836	
Locus931	0.0833	0.0425	0.1378	
Locus932	0.04	0.0151	0.0794	
Locus933	0.0642	0.0272	0.1178	
Locus934	0.1883	0.1452	0.2391	
Locus935	0.0348	0.0118	0.0793	
Locus936	0.1354	0.0822	0.2136	
Locus937	0.0695	0.0333	0.1236	
Locus938	0.0441	0.0188	0.0784	
Locus939	0.0489	0.0206	0.1039	
Locus940	0.1155	0.0662	0.1581	
Locus941	0.1593	0.0906	0.2244	
Locus942	0.2305	0.171	0.2749	
Locus943	0.0533	0.02	0.1065	
Locus944	0.1088	0.0615	0.1704	
Locus945	0.0462	0.0147	0.0857	
Locus946	0.1318	0.0807	0.1807	
Locus947	0.1064	0.0627	0.1552	
Locus948	0.0975	0.041	0.1595	
Locus949	0.0628	0.0285	0.1087	
Locus950	0.1384	0.0863	0.2125	
Locus951	0.1197	0.0675	0.1783	
Locus952	0.0789	0.0309	0.1387	
Locus953	0.137	0.073	0.2001	
Locus954	0.0951	0.0485	0.1433	
Locus955	0.1128	0.0531	0.1799	
Locus956	0.1337	0.0711	0.2021	
Locus957	0.1198	0.0698	0.1796	
Locus958	0.1801	0.1258	0.2401	
Locus959	0.0318	0.0105	0.0774	
Locus960	0.0973	0.0407	0.1756	
Locus961	0.0816	0.0377	0.1375	
Locus962	0.1518	0.0945	0.2248	
Locus963	0.0472	0.0171	0.103	
Locus964	0.0405	0.0163	0.0812	
Locus965	0.1358	0.0793	0.2021	
Locus966	0.0829	0.0386	0.1281	
Locus967	0.0762	0.0318	0.1295	
Locus968	0.1022	0.0597	0.1743	
Locus969	0.0778	0.0327	0.1499	
Locus970	0.095	0.0338	0.1643	
Locus971	0.14	0.0819	0.2194	
Locus972	0.0657	0.0235	0.135	
Locus973	0.1554	0.0965	0.2126	
Locus974	0.1522	0.096	0.2184	
Locus975	0.0943	0.044	0.1584	
Locus976	0.0954	0.0484	0.1603	
Locus977	0.0458	0.0162	0.0831	
Locus978	0.1127	0.0628	0.1655	
Locus979	0.1303	0.0663	0.1987	
Locus980	0.0757	0.0355	0.1495	
Locus981	0.1547	0.1043	0.2012	
Locus982	0.1091	0.0526	0.1767	
Locus983	0.1156	0.0464	0.1935	
Locus984	0.1132	0.0568	0.1796	
Locus985	0.0524	0.0169	0.0924	
Locus986	0.0475	0.0204	0.0984	
Locus987	0.1191	0.0743	0.1864	
Locus988	0.1371	0.0799	0.2162	
Locus989	0.1222	0.0733	0.1738	
Locus990	0.156	0.0979	0.2284	
Locus991	0.0342	0.0085	0.071	
Locus992	0.1297	0.0737	0.1945	
Locus993	0.0375	0.0127	0.0758	
Locus994	0.1366	0.0769	0.2085	
Locus995	0.0389	0.0174	0.0789	
Locus996	0.1402	0.089	0.204	
Locus997	0.0519	0.018	0.1096	
Locus998	0.0873	0.0476	0.1546	
Locus999	0.1268	0.0802	0.1955	
Locus1000	0.0744	0.0338	0.1197	
Locus1001	0.1283	0.0711	0.1996	
Locus1002	0.0456	0.0136	0.0916	
Locus1003	0.1115	0.0594	0.1716	
Locus1004	0.0521	0.0176	0.0938	
Locus1005	0.089	0.0422	0.1488	
Locus1006	0.0348	0.0121	0.0753	
Locus1007	0.1054	0.0395	0.1845	
Locus1008	0.1054	0.0646	0.1649	
Locus1009	0.0598	0.0228	0.1213	
Locus1010	0.0552	0.0193	0.099	
Locus1011	0.1073	0.0643	0.1692	
Locus1012	0.1117	0.059	0.1691	
Locus1013	0.1985	0.1417	0.2553	
Locus1014	0.0914	0.0453	0.1419	
Locus1015	0.0665	0.0299	0.1088	
Locus1016	0.1026	0.0624	0.1581	
Locus1017	0.0339	0.007	0.0657	
Locus1018	0.1225	0.0681	0.1732	
Locus1019	0.1642	0.1029	0.228	
Locus1020	0.1681	0.0989	0.2513	
Locus1021	0.0465	0.0135	0.0963	
Locus1022	0.0383	0.017	0.0719	
Locus1023	0.0997	0.0604	0.1475	
Locus1024	0.1001	0.0534	0.1517	
Locus1025	0.0486	0.0188	0.0896	
Locus1026	0.1358	0.0886	0.1824	
Locus1027	0.0891	0.0485	0.1515	
Locus1028	0.1042	0.0413	0.1796	
Locus1029	0.1058	0.0598	0.1567	
Locus1030	0.0281	0.0092	0.0602	
Locus1031	0.0594	0.0252	0.1039	
Locus1032	0.1281	0.0755	0.1979	
Locus1033	0.0889	0.0346	0.1557	
Locus1034	0.094	0.0503	0.1591	
Locus1035	0.0793	0.0297	0.143	
Locus1036	0.1569	0.0991	0.2174	
Locus1037	0.1096	0.0618	0.1742	
Locus1038	0.1122	0.0658	0.1735	
Locus1039	0.1268	0.0642	0.2108	
Locus1040	0.1134	0.0583	0.1887	
Locus1041	0.0402	0.0147	0.0804	
Locus1042	0.1219	0.0694	0.1652	
Locus1043	0.0581	0.0249	0.1011	
Locus1044	0.1055	0.0485	0.1737	
Locus1045	0.107	0.0513	0.1918	
Locus1046	0.0832	0.0424	0.1252	
Locus1047	0.1506	0.078	0.2538	
Locus1048	0.0859	0.0464	0.1267	
Locus1049	0.0781	0.0468	0.1282	
Locus1050	0.1193	0.0575	0.1911	
Locus1051	0.1124	0.0546	0.1846	
Locus1052	0.1118	0.0681	0.1721	
Locus1053	0.1354	0.0913	0.1961	
Locus1054	0.185	0.1062	0.2705	
Locus1055	0.0461	0.0147	0.0891	
Locus1056	0.0302	0.0091	0.0554	
Locus1057	0.0723	0.0292	0.1235	
Locus1058	0.076	0.035	0.1229	
Locus1059	0.0991	0.0478	0.1557	
Locus1060	0.1445	0.0927	0.2067	
Locus1061	0.0931	0.0514	0.1451	
Locus1062	0.1332	0.0936	0.1869	
Locus1063	0.2098	0.15	0.2892	
Locus1064	0.1048	0.0598	0.1606	
Locus1065	0.0871	0.0405	0.1472	
Locus1066	0.0654	0.0253	0.1366	
Locus1067	0.1025	0.0519	0.1648	
Locus1068	0.0774	0.0336	0.1282	
Locus1069	0.0517	0.0232	0.0938	
Locus1070	0.1204	0.0656	0.1757	
Locus1071	0.1099	0.0548	0.1629	
Locus1072	0.1039	0.057	0.1606	
Locus1073	0.1218	0.0772	0.1779	
Locus1074	0.0872	0.0415	0.1412	
Locus1075	0.1109	0.0629	0.1733	
Locus1076	0.03	0.0114	0.0488	
Locus1077	0.0757	0.032	0.1434	
Locus1078	0.07	0.0309	0.1306	
Locus1079	0.1098	0.0577	0.1736	
Locus1080	0.0565	0.0194	0.117	
Locus1081	0.0708	0.0332	0.1151	
Locus1082	0.1174	0.0575	0.178	
Locus1083	0.1125	0.061	0.1741	
Locus1084	0.0528	0.0226	0.0986	
Locus1085	0.1278	0.0639	0.1965	
Locus1086	0.0536	0.0228	0.1033	
Locus1087	0.0647	0.0252	0.1037	
Locus1088	0.1281	0.0803	0.1833	
Locus1089	0.1203	0.0627	0.1745	
Locus1090	0.1214	0.0742	0.1693	
Locus1091	0.0216	0.0049	0.0458	
Locus1092	0.0663	0.0303	0.1161	
Locus1093	0.0429	0.0165	0.0823	
Locus1094	0.0871	0.0431	0.1446	
Locus1095	0.1152	0.0684	0.1697	
Locus1096	0.1304	0.0712	0.1954	
Locus1097	0.0865	0.0437	0.147	
Locus1098	0.1038	0.0599	0.1616	
Locus1099	0.1099	0.0554	0.1783	
Locus1100	0.0872	0.0459	0.1448	
Locus1101	0.0467	0.0138	0.0795	
Locus1102	0.0974	0.0479	0.1482	
Locus1103	0.0939	0.051	0.1473	
Locus1104	0.1568	0.0991	0.2171	
Locus1105	0.0314	0.0109	0.0627	
Locus1106	0.0424	0.0125	0.0886	
Locus1107	0.0782	0.0322	0.1266	
Locus1108	0.0468	0.015	0.0995	
Locus1109	0.0668	0.0313	0.106	
Locus1110	0.1081	0.0501	0.1884	
Locus1111	0.1544	0.0852	0.2168	
Locus1112	0.0882	0.0425	0.1481	
Locus1113	0.0588	0.0283	0.0993	
Locus1114	0.0811	0.0432	0.1306	
Locus1115	0.1234	0.0682	0.1931	
Locus1116	0.2417	0.1829	0.292	
Locus1117	0.0665	0.0179	0.1364	
Locus1118	0.1237	0.0787	0.1701	
Locus1119	0.1633	0.0972	0.2441	
Locus1120	0.0889	0.042	0.1355	
Locus1121	0.1885	0.134	0.2531	
Locus1122	0.0492	0.0213	0.0927	
Locus1123	0.0761	0.036	0.1354	
Locus1124	0.1279	0.0731	0.1845	
Locus1125	0.046	0.0113	0.1106	
Locus1126	0.1708	0.0959	0.2514	
Locus1127	0.0634	0.0313	0.1169	
Locus1128	0.1049	0.0662	0.1601	
Locus1129	0.0676	0.0277	0.1284	
Locus1130	0.0702	0.0241	0.124	
Locus1131	0.1453	0.0836	0.2082	
Locus1132	0.1135	0.0542	0.1744	
Locus1133	0.038	0.0063	0.0913	
Locus1134	0.0862	0.0395	0.1614	
Locus1135	0.1239	0.0748	0.1878	
Locus1136	0.0451	0.0119	0.0957	
Locus1137	0.1165	0.0566	0.1766	
Locus1138	0.0584	0.0235	0.0993	
Locus1139	0.1067	0.0604	0.1702	
Locus1140	0.0753	0.033	0.1436	
Locus1141	0.0866	0.0435	0.149	
Locus1142	0.114	0.0746	0.1683	
Locus1143	0.0506	0.0149	0.0928	
Locus1144	0.1276	0.0769	0.1812	
Locus1145	0.1413	0.0929	0.2059	
Locus1146	0.0511	0.0215	0.0939	
Locus1147	0.1051	0.0439	0.1721	
Locus1148	0.1185	0.0675	0.1951	
Locus1149	0.1116	0.0655	0.1726	
Locus1150	0.102	0.052	0.1571	
Locus1151	0.1087	0.0489	0.1764	
Locus1152	0.1331	0.0782	0.1972	
Locus1153	0.0624	0.0238	0.1162	
Locus1154	0.0983	0.0566	0.1468	
Locus1155	0.1166	0.0574	0.1843	
Locus1156	0.1206	0.0714	0.1831	
Locus1157	0.1218	0.0607	0.1771	
Locus1158	0.0876	0.05	0.1551	
Locus1159	0.0515	0.0159	0.0991	
Locus1160	0.0728	0.0301	0.1212	
Locus1161	0.0687	0.0258	0.1234	
Locus1162	0.0885	0.0431	0.145	
Locus1163	0.0969	0.0541	0.1469	
Locus1164	0.0936	0.0422	0.168	
Locus1165	0.0864	0.036	0.1525	
Locus1166	0.0593	0.0209	0.1106	
Locus1167	0.1786	0.1164	0.2403	
Locus1168	0.1208	0.0702	0.1793	
Locus1169	0.087	0.039	0.1431	
Locus1170	0.1325	0.0703	0.1949	
Locus1171	0.1123	0.0598	0.1683	
Locus1172	0.1114	0.0656	0.1682	
Locus1173	0.1398	0.0895	0.2057	
Locus1174	0.1619	0.1024	0.227	
Locus1175	0.1701	0.0896	0.2296	
Locus1176	0.1341	0.0606	0.2164	
Locus1177	0.1386	0.0702	0.2229	
Locus1178	0.0754	0.0405	0.1332	
Locus1179	0.0674	0.0229	0.1278	
Locus1180	0.1515	0.09	0.204	
Locus1181	0.1079	0.0615	0.1536	
Locus1182	0.0869	0.0427	0.1411	
Locus1183	0.1341	0.0821	0.1831	
Locus1184	0.067	0.0237	0.1243	
Locus1185	0.1909	0.1391	0.2442	
Locus1186	0.0903	0.0438	0.1493	
Locus1187	0.1089	0.0499	0.1708	
Locus1188	0.0961	0.0528	0.159	
Locus1189	0.1432	0.0896	0.2127	
Locus1190	0.1043	0.0549	0.1697	
Locus1191	0.1183	0.0782	0.1763	
Locus1192	0.1199	0.0705	0.1752	
Locus1193	0.1253	0.0719	0.2005	
Locus1194	0.176	0.1219	0.2282	
Locus1195	0.1094	0.0649	0.1593	
Locus1196	0.1391	0.0875	0.1888	
Locus1197	0.159	0.1008	0.2184	
Locus1198	0.0592	0.0265	0.1071	
Locus1199	0.1701	0.1216	0.2266	
Locus1200	0.054	0.0235	0.104	
global	0.0911	0.0833	0.1	
D_Jost				
Locus1	0.0659	0.0305	0.1073	
Locus2	0.0398	0.0139	0.0832	
Locus3	0.0299	0.0116	0.0549	
Locus4	0.0468	0.0131	0.092	
Locus5	0.0547	0.0236	0.0991	
Locus6	0.0834	0.0446	0.1302	
Locus7	0.0419	0.0121	0.0833	
Locus8	0.0293	0.0079	0.055	
Locus9	0.0545	0.027	0.0921	
Locus10	0.0928	0.0463	0.1355	
Locus11	0.0672	0.027	0.1077	
Locus12	0.0487	0.0286	0.0763	
Locus13	0.0669	0.0379	0.1167	
Locus14	0.0456	0.0153	0.0844	
Locus15	0.038	0.0144	0.0705	
Locus16	0.0219	0.0088	0.0487	
Locus17	0.0384	0.0104	0.0774	
Locus18	0.0944	0.051	0.1425	
Locus19	0.0864	0.0481	0.1236	
Locus20	0.0545	0.022	0.1021	
Locus21	0.0682	0.0326	0.1104	
Locus22	0.0416	0.0145	0.0899	
Locus23	0.0202	0.0061	0.042	
Locus24	0.0714	0.0351	0.1115	
Locus25	0.058	0.0294	0.0954	
Locus26	0.0233	0.0083	0.0432	
Locus27	0.0632	0.0329	0.1005	
Locus28	0.0423	0.0209	0.0698	
Locus29	0.0877	0.0424	0.1445	
Locus30	0.0276	0.0107	0.0523	
Locus31	0.0407	0.0162	0.0749	
Locus32	0.0747	0.0401	0.1121	
Locus33	0.0253	0.0096	0.0503	
Locus34	0.1201	0.0758	0.1752	
Locus35	0.0734	0.0336	0.1166	
Locus36	0.1042	0.0571	0.1438	
Locus37	0.0915	0.0515	0.1242	
Locus38	0.0596	0.0261	0.1074	
Locus39	0.0598	0.0231	0.0982	
Locus40	0.0229	0.0066	0.048	
Locus41	0.0487	0.0244	0.0875	
Locus42	0.0685	0.0297	0.1186	
Locus43	0.1392	0.1078	0.1719	
Locus44	0.039	0.0103	0.0776	
Locus45	0.0187	0.0067	0.039	
Locus46	0.0578	0.0274	0.0908	
Locus47	0.0456	0.0178	0.0882	
Locus48	0.0399	0.0185	0.0736	
Locus49	0.0373	0.01	0.0709	
Locus50	0.0317	0.0124	0.0648	
Locus51	0.1524	0.1086	0.1953	
Locus52	0.0219	0.0085	0.038	
Locus53	0.0753	0.0401	0.1229	
Locus54	0.0664	0.0286	0.1042	
Locus55	0.0667	0.0331	0.1128	
Locus56	0.0423	0.0179	0.0808	
Locus57	0.0356	0.0174	0.062	
Locus58	0.0453	0.0154	0.0848	
Locus59	0.0116	0.0021	0.0285	
Locus60	0.0506	0.0257	0.0881	
Locus61	0.0584	0.022	0.1025	
Locus62	0.0452	0.0183	0.0722	
Locus63	0.0815	0.0488	0.1269	
Locus64	0.0333	0.0114	0.0574	
Locus65	0.0486	0.0242	0.0896	
Locus66	0.0755	0.0346	0.1221	
Locus67	0.0377	0.0129	0.0723	
Locus68	0.0484	0.0187	0.0874	
Locus69	0.1275	0.0929	0.1763	
Locus70	0.0236	0.0077	0.044	
Locus71	0.0239	0.0098	0.0457	
Locus72	0.0897	0.0544	0.1294	
Locus73	0.0549	0.0245	0.0998	
Locus74	0.0348	0.0114	0.0626	
Locus75	0.0746	0.036	0.1258	
Locus76	0.0522	0.0182	0.0945	
Locus77	0.0267	0.0104	0.0508	
Locus78	0.1188	0.078	0.1546	
Locus79	0.0582	0.0212	0.1006	
Locus80	0.0399	0.0179	0.0666	
Locus81	0.0971	0.0594	0.1404	
Locus82	0.0217	0.0071	0.0444	
Locus83	0.1436	0.0992	0.1975	
Locus84	0.1044	0.0666	0.1435	
Locus85	0.0694	0.0397	0.1112	
Locus86	0.0384	0.0159	0.0767	
Locus87	0.0505	0.0266	0.0807	
Locus88	0.1012	0.0656	0.1468	
Locus89	0.0336	0.011	0.0683	
Locus90	0.033	0.0082	0.062	
Locus91	0.1019	0.0656	0.1399	
Locus92	0.0466	0.0216	0.0766	
Locus93	0.063	0.034	0.0957	
Locus94	0.0418	0.0159	0.083	
Locus95	0.0509	0.0195	0.0969	
Locus96	0.0903	0.0479	0.1315	
Locus97	0.0669	0.0369	0.105	
Locus98	0.0415	0.0162	0.0738	
Locus99	0.1262	0.087	0.1764	
Locus100	0.0859	0.0546	0.1245	
Locus101	0.0678	0.0259	0.1254	
Locus102	0.1063	0.0735	0.1544	
Locus103	0.048	0.0218	0.0807	
Locus104	0.0478	0.0183	0.0894	
Locus105	0.0453	0.0211	0.0823	
Locus106	0.0322	0.0134	0.0624	
Locus107	0.0638	0.0319	0.0984	
Locus108	0.0419	0.013	0.09	
Locus109	0.053	0.0153	0.0975	
Locus110	0.0349	0.0116	0.0632	
Locus111	0.0267	0.0105	0.0511	
Locus112	0.0468	0.0266	0.0789	
Locus113	0.092	0.0438	0.1375	
Locus114	0.0577	0.0307	0.1066	
Locus115	0.0774	0.032	0.1354	
Locus116	0.0375	0.0127	0.0695	
Locus117	0.0829	0.0403	0.1443	
Locus118	0.1219	0.0727	0.1666	
Locus119	0.0293	0.0119	0.0528	
Locus120	0.0414	0.017	0.0768	
Locus121	0.0526	0.0218	0.0934	
Locus122	0.1322	0.0864	0.1941	
Locus123	0.0937	0.0551	0.1371	
Locus124	0.0279	0.0113	0.0495	
Locus125	0.0326	0.012	0.0662	
Locus126	0.0642	0.0367	0.1061	
Locus127	0.0657	0.0329	0.1164	
Locus128	0.111	0.062	0.1586	
Locus129	0.0412	0.0127	0.0829	
Locus130	0.0846	0.0472	0.1279	
Locus131	0.029	0.012	0.0636	
Locus132	0.0241	0.0087	0.0479	
Locus133	0.0613	0.0313	0.094	
Locus134	0.0207	0.0083	0.0406	
Locus135	0.0712	0.0385	0.1062	
Locus136	0.0694	0.0405	0.1053	
Locus137	0.0579	0.0239	0.1005	
Locus138	0.0723	0.0365	0.1148	
Locus139	0.0406	0.0221	0.0632	
Locus140	0.0522	0.0229	0.0923	
Locus141	0.0224	0.0037	0.059	
Locus142	0.0661	0.0358	0.0986	
Locus143	0.0586	0.0316	0.0932	
Locus144	0.0638	0.0318	0.1071	
Locus145	0.0742	0.0399	0.1173	
Locus146	0.0886	0.0502	0.1235	
Locus147	0.0441	0.0204	0.0713	
Locus148	0.1546	0.1136	0.1978	
Locus149	0.0912	0.052	0.1351	
Locus150	0.0634	0.0278	0.1075	
Locus151	0.018	0.0041	0.044	
Locus152	0.0723	0.0387	0.1067	
Locus153	0.0344	0.0102	0.0778	
Locus154	0.0791	0.0438	0.1288	
Locus155	0.0733	0.04	0.1184	
Locus156	0.0352	0.0142	0.0626	
Locus157	0.0178	0.0063	0.0392	
Locus158	0.0708	0.0287	0.1132	
Locus159	0.0251	0.0078	0.0535	
Locus160	0.0455	0.0196	0.0834	
Locus161	0.0313	0.0065	0.0672	
Locus162	0.0523	0.0181	0.0928	
Locus163	0.0713	0.0437	0.1061	
Locus164	0.0179	0.0041	0.0501	
Locus165	0.0408	0.0178	0.0777	
Locus166	0.0688	0.0372	0.1171	
Locus167	0.0556	0.0226	0.107	
Locus168	0.0274	0.0078	0.054	
Locus169	0.0443	0.0211	0.0814	
Locus170	0.0339	0.0168	0.0603	
Locus171	0.0668	0.0314	0.1091	
Locus172	0.0244	0.0077	0.049	
Locus173	0.0818	0.0473	0.122	
Locus174	0.0406	0.011	0.0801	
Locus175	0.0782	0.0369	0.1206	
Locus176	0.0498	0.021	0.084	
Locus177	0.0997	0.0624	0.1334	
Locus178	0.0632	0.0293	0.1108	
Locus179	0.0438	0.0229	0.0677	
Locus180	0.0701	0.0347	0.1137	
Locus181	0.0379	0.0184	0.0636	
Locus182	0.0913	0.045	0.1392	
Locus183	0.0657	0.0327	0.1118	
Locus184	0.0519	0.0171	0.0989	
Locus185	0.0318	0.0098	0.0656	
Locus186	0.1031	0.0627	0.1516	
Locus187	0.0305	0.0123	0.0626	
Locus188	0.09	0.0458	0.1402	
Locus189	0.0473	0.018	0.0885	
Locus190	0.031	0.0133	0.051	
Locus191	0.0819	0.043	0.1154	
Locus192	0.0261	0.0085	0.0542	
Locus193	0.0335	0.0138	0.0608	
Locus194	0.0857	0.0556	0.1305	
Locus195	0.0465	0.0214	0.08	
Locus196	0.0493	0.0193	0.0913	
Locus197	0.04	0.018	0.0707	
Locus198	0.019	0.0067	0.0373	
Locus199	0.042	0.0144	0.0842	
Locus200	0.1297	0.0992	0.1629	
Locus201	0.0235	0.0099	0.0439	
Locus202	0.0599	0.031	0.107	
Locus203	0.0305	0.0121	0.0556	
Locus204	0.0368	0.0136	0.0627	
Locus205	0.0237	0.008	0.0426	
Locus206	0.0346	0.0125	0.0612	
Locus207	0.0614	0.0218	0.0972	
Locus208	0.0781	0.042	0.1121	
Locus209	0.0263	0.0092	0.0577	
Locus210	0.0866	0.0461	0.1342	
Locus211	0.0182	0.0029	0.0411	
Locus212	0.0403	0.018	0.0713	
Locus213	0.0788	0.0349	0.1227	
Locus214	0.0946	0.0542	0.1381	
Locus215	0.0946	0.0611	0.1447	
Locus216	0.1135	0.0816	0.1589	
Locus217	0.0905	0.0606	0.1293	
Locus218	0.1145	0.0796	0.1444	
Locus219	0.0536	0.0264	0.0843	
Locus220	0.0561	0.0243	0.1059	
Locus221	0.1225	0.0788	0.1732	
Locus222	0.0654	0.0287	0.101	
Locus223	0.1012	0.0655	0.1425	
Locus224	0.0928	0.0468	0.1413	
Locus225	0.0281	0.0095	0.0646	
Locus226	0.0434	0.0196	0.0727	
Locus227	0.0294	0.011	0.055	
Locus228	0.043	0.0127	0.0815	
Locus229	0.0338	0.0113	0.062	
Locus230	0.0548	0.0204	0.0988	
Locus231	0.0289	0.0106	0.0557	
Locus232	0.0281	0.0112	0.053	
Locus233	0.064	0.0315	0.1101	
Locus234	0.0547	0.0207	0.0909	
Locus235	0.0337	0.0141	0.0585	
Locus236	0.0494	0.0198	0.0916	
Locus237	0.1108	0.0711	0.1594	
Locus238	0.0234	0.0072	0.0498	
Locus239	0.1259	0.0961	0.1613	
Locus240	0.0358	0.0136	0.0673	
Locus241	0.0268	0.0069	0.0541	
Locus242	0.0436	0.019	0.0693	
Locus243	0.0761	0.0406	0.1255	
Locus244	0.1138	0.076	0.1539	
Locus245	0.0729	0.0408	0.1261	
Locus246	0.0301	0.0085	0.0586	
Locus247	0.0637	0.0281	0.1068	
Locus248	0.0429	0.0211	0.0694	
Locus249	0.0173	0.0042	0.0409	
Locus250	0.0107	0.002	0.0379	
Locus251	0.0725	0.0409	0.1113	
Locus252	0.0393	0.0168	0.0689	
Locus253	0.1023	0.0755	0.1369	
Locus254	0.0835	0.0509	0.1216	
Locus255	0.0317	0.0117	0.0562	
Locus256	0.0381	0.0131	0.0806	
Locus257	0.0432	0.0187	0.0834	
Locus258	0.0575	0.0322	0.0847	
Locus259	0.0389	0.0168	0.0706	
Locus260	0.0849	0.053	0.1291	
Locus261	0.0956	0.0526	0.1335	
Locus262	0.0555	0.0226	0.1062	
Locus263	0.1183	0.0704	0.1599	
Locus264	0.0518	0.0159	0.1006	
Locus265	0.0297	0.0147	0.0541	
Locus266	0.0888	0.0459	0.1408	
Locus267	0.1067	0.0748	0.1425	
Locus268	0.0921	0.0507	0.1402	
Locus269	0.0629	0.0299	0.0994	
Locus270	0.0321	0.0124	0.0656	
Locus271	0.0165	0.0047	0.0369	
Locus272	0.047	0.0198	0.0766	
Locus273	0.0748	0.0318	0.1211	
Locus274	0.0256	0.0076	0.0584	
Locus275	0.0317	0.0141	0.0551	
Locus276	0.0772	0.0445	0.1287	
Locus277	0.0821	0.0483	0.1266	
Locus278	0.0391	0.0161	0.091	
Locus279	0.0895	0.0497	0.1336	
Locus280	0.0684	0.0348	0.1155	
Locus281	0.0523	0.0261	0.0894	
Locus282	0.0302	0.0113	0.0587	
Locus283	0.0573	0.0348	0.0927	
Locus284	0.0363	0.0145	0.0715	
Locus285	0.1213	0.0822	0.1579	
Locus286	0.0252	0.0086	0.0453	
Locus287	0.1105	0.0654	0.1588	
Locus288	0.0892	0.0565	0.1329	
Locus289	0.017	0.0053	0.0368	
Locus290	0.0302	0.01	0.0563	
Locus291	0.0357	0.0138	0.0743	
Locus292	0.0374	0.0147	0.0686	
Locus293	0.1124	0.0664	0.1549	
Locus294	0.1357	0.086	0.1802	
Locus295	0.0702	0.0359	0.1039	
Locus296	0.0185	0.0064	0.044	
Locus297	0.0315	0.0152	0.0591	
Locus298	0.1089	0.0798	0.1555	
Locus299	0.0664	0.0308	0.1126	
Locus300	0.0614	0.0284	0.0979	
Locus301	0.041	0.0163	0.0722	
Locus302	0.0832	0.0412	0.1288	
Locus303	0.0664	0.026	0.1104	
Locus304	0.1203	0.0812	0.1614	
Locus305	0.1022	0.0622	0.1408	
Locus306	0.0221	0.0068	0.0408	
Locus307	0.0754	0.0387	0.1194	
