	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus136	0.0379	0.0219	0.0608	
Locus137	0.0321	0.0142	0.0556	
Locus138	0.0365	0.0186	0.0607	
Locus139	0.0293	0.0158	0.0462	
Locus140	0.0302	0.0138	0.0536	
Locus141	0.0169	0.0031	0.0432	
Locus142	0.0395	0.0206	0.0621	
Locus143	0.0377	0.0218	0.0593	
Locus144	0.0348	0.0168	0.0616	
Locus145	0.0406	0.0213	0.0672	
Locus146	0.0477	0.0261	0.0686	
Locus147	0.0326	0.0156	0.0533	
Locus148	0.0878	0.0606	0.1167	
Locus149	0.0512	0.0292	0.0772	
Locus150	0.0328	0.0143	0.0574	
Locus151	0.0136	0.0033	0.0326	
Locus152	0.0373	0.0194	0.056	
Locus153	0.0269	0.0082	0.0607	
Locus154	0.0404	0.0216	0.0686	
Locus155	0.0393	0.0211	0.0647	
Locus156	0.024	0.0099	0.0412	
Locus157	0.0148	0.0054	0.0336	
Locus158	0.0395	0.0151	0.0659	
Locus159	0.0185	0.0063	0.0372	
Locus160	0.0312	0.0141	0.0605	
Locus161	0.0226	0.0052	0.046	
Locus162	0.0326	0.0117	0.0572	
Locus163	0.0418	0.0248	0.0675	
Locus164	0.0132	0.0034	0.0354	
Locus165	0.027	0.0119	0.0504	
Locus166	0.0464	0.025	0.0783	
Locus167	0.0386	0.0165	0.0736	
Locus168	0.0198	0.006	0.0386	
Locus169	0.0326	0.0157	0.0587	
Locus170	0.0238	0.0119	0.044	
Locus171	0.0358	0.0171	0.057	
Locus172	0.0186	0.0061	0.0364	
Locus173	0.0456	0.0272	0.068	
Locus174	0.0309	0.0088	0.0599	
Locus175	0.0402	0.0189	0.0649	
Locus176	0.0318	0.0132	0.0538	
Locus177	0.0729	0.0453	0.1005	
Locus178	0.0315	0.0143	0.056	
Locus179	0.0284	0.0147	0.0464	
Locus180	0.0386	0.0189	0.0648	
Locus181	0.0259	0.0129	0.0428	
Locus182	0.0488	0.0233	0.0764	
Locus183	0.0418	0.0215	0.0716	
Locus184	0.0378	0.0131	0.0707	
Locus185	0.0238	0.0078	0.0473	
Locus186	0.0572	0.0338	0.0875	
Locus187	0.0216	0.0092	0.0433	
Locus188	0.0456	0.0222	0.0759	
Locus189	0.027	0.0108	0.0505	
Locus190	0.0207	0.0093	0.0342	
Locus191	0.0428	0.0226	0.0632	
Locus192	0.0208	0.0069	0.0431	
Locus193	0.0209	0.0091	0.0385	
Locus194	0.0415	0.0265	0.0656	
Locus195	0.0343	0.0163	0.06	
Locus196	0.033	0.0136	0.0606	
Locus197	0.0281	0.0119	0.0486	
Locus198	0.0151	0.0054	0.0288	
Locus199	0.0252	0.009	0.0492	
Locus200	0.0733	0.0533	0.0964	
Locus201	0.0188	0.0083	0.0353	
Locus202	0.0402	0.0211	0.0722	
Locus203	0.0243	0.0098	0.0452	
Locus204	0.03	0.0112	0.0521	
Locus205	0.0194	0.0065	0.035	
Locus206	0.0228	0.0092	0.0402	
Locus207	0.0344	0.0117	0.0549	
Locus208	0.0503	0.0271	0.0725	
Locus209	0.0177	0.0069	0.0375	
Locus210	0.0509	0.0269	0.0825	
Locus211	0.0143	0.0023	0.0343	
