loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus457	0.112	0.0508	0.085	0.2022	0.128	
Locus458	0.0592	0.0229	0.036	0.1013	0.0677	
Locus459	0.0223	0.0094	0.0161	0.0412	0.0255	
Locus460	0.0425	0.0156	0.024	0.0714	0.0486	
Locus461	0.043	0.0175	0.0287	0.0765	0.0492	
Locus462	0.0402	0.0179	0.0311	0.0756	0.0459	
Locus463	0.0126	0.0054	0.0093	0.0235	0.0143	
Locus464	0.0101	0.0044	0.0079	0.0193	0.0116	
Locus465	0.009	0.0041	0.0075	0.0177	0.0103	
Locus466	0.012	0.0053	0.0095	0.0231	0.0137	
Locus467	0.0165	0.0073	0.0128	0.0315	0.0189	
Locus468	0.0496	0.0188	0.0295	0.0845	0.0567	
Locus469	0.0417	0.0166	0.0268	0.0732	0.0476	
Locus470	0.0079	0.003	0.0048	0.0137	0.009	
Locus471	0.0058	0.0026	0.0048	0.0113	0.0066	
Locus472	0.0421	0.0183	0.0314	0.0779	0.0481	
Locus473	0.0115	0.0053	0.0098	0.0228	0.0131	
Locus474	0.0401	0.0174	0.0297	0.0742	0.0458	
Locus475	0.0152	0.0067	0.0117	0.0289	0.0174	
Locus476	0.0649	0.0278	0.0465	0.1172	0.0742	
Locus477	0.0203	0.0095	0.0175	0.0403	0.0232	
Locus478	0.0884	0.035	0.0549	0.1503	0.101	
Locus479	0.0409	0.0168	0.0276	0.0731	0.0468	
Locus480	0.0177	0.0083	0.0155	0.0354	0.0202	
Locus481	0.0415	0.0148	0.0226	0.069	0.0475	
Locus482	0.0233	0.0111	0.0208	0.0469	0.0266	
Locus483	0.0237	0.0095	0.0155	0.0422	0.0271	
Locus484	0.0754	0.028	0.0427	0.1251	0.0861	
Locus485	0.0605	0.0223	0.0342	0.1009	0.0691	
Locus486	0.0213	0.0092	0.0161	0.04	0.0243	
Locus487	0.0319	0.0116	0.018	0.0538	0.0365	
Locus488	0.0225	0.0086	0.0138	0.0392	0.0257	
Locus489	0.0878	0.0339	0.0524	0.1475	0.1004	
Locus490	0.013	0.0052	0.0085	0.0232	0.0148	
Locus491	0.0242	0.0102	0.0174	0.0445	0.0276	
Locus492	0.0227	0.0103	0.0186	0.0441	0.026	
Locus493	0.0335	0.0139	0.0233	0.0608	0.0383	
Locus494	0.0308	0.0112	0.0173	0.0519	0.0352	
Locus495	0.0238	0.0109	0.0198	0.0465	0.0272	
Locus496	0.0111	0.0052	0.0097	0.0222	0.0127	
Locus497	0.0318	0.0125	0.0201	0.0558	0.0364	
Locus498	0.0183	0.0067	0.0106	0.0313	0.0209	
Locus499	0.0111	0.0052	0.0098	0.0224	0.0127	
Locus500	0.0321	0.0145	0.0258	0.0616	0.0367	
Locus501	0.0211	0.0086	0.0144	0.0382	0.0241	
Locus502	0.0587	0.0232	0.037	0.1016	0.0671	
Locus503	0.0107	0.0049	0.0091	0.0212	0.0122	
Locus504	0.0137	0.0064	0.0118	0.0272	0.0156	
Locus505	0.0243	0.0111	0.02	0.0472	0.0278	
Locus506	0.0583	0.0235	0.038	0.1021	0.0666	
Locus507	0.0262	0.0121	0.0222	0.0514	0.0299	
Locus508	0.0444	0.0164	0.0253	0.0747	0.0507	
Locus509	0.0377	0.0142	0.0222	0.0643	0.0431	
Locus510	0.0179	0.0082	0.0148	0.035	0.0205	
Locus511	0.0137	0.0064	0.012	0.0275	0.0157	
Locus512	0.0294	0.0114	0.0182	0.0512	0.0336	
Locus513	0.0676	0.0292	0.0489	0.1224	0.0773	
Locus514	0.0536	0.0208	0.0329	0.0922	0.0613	
Locus515	0.048	0.0176	0.0271	0.0805	0.0549	
Locus516	0.0173	0.0085	0.0166	0.036	0.0197	
Locus517	0.02	0.007	0.0107	0.0333	0.0229	
Locus518	0.0229	0.0109	0.0202	0.0459	0.0262	
Locus519	0.0527	0.0212	0.0342	0.0923	0.0602	
Locus520	0.0433	0.018	0.0298	0.0778	0.0495	
Locus521	0.0121	0.0049	0.008	0.0218	0.0138	
Locus522	0.0225	0.0102	0.0183	0.0435	0.0257	
Locus523	0.0065	0.0031	0.0058	0.0133	0.0075	
Locus524	0.0312	0.0122	0.0197	0.0547	0.0357	
Locus525	0.029	0.011	0.0174	0.05	0.0331	
Locus526	0.0145	0.006	0.01	0.0265	0.0166	
Locus527	0.0083	0.0039	0.0074	0.0168	0.0095	
Locus528	0.0727	0.0323	0.0548	0.1334	0.0831	
Locus529	0.0191	0.0085	0.0151	0.0366	0.0218	
Locus530	0.0731	0.0271	0.0414	0.1214	0.0835	
Locus531	0.0173	0.0067	0.0108	0.0303	0.0198	
Locus532	0.0155	0.0071	0.0131	0.0305	0.0177	
Locus533	0.0182	0.0084	0.0153	0.0357	0.0208	
Locus534	0.0232	0.0106	0.0192	0.0452	0.0265	
Locus535	0.0196	0.0093	0.0173	0.0393	0.0224	
Locus536	0.0276	0.0115	0.0195	0.0503	0.0315	
Locus537	0.0153	0.0068	0.0122	0.0295	0.0175	
Locus538	0.0368	0.0161	0.0277	0.0686	0.042	
Locus539	0.0171	0.0076	0.0134	0.0326	0.0195	
Locus540	0.0183	0.0084	0.0154	0.036	0.0209	
Locus541	0.0215	0.008	0.0126	0.0369	0.0246	
Locus542	0.0353	0.0133	0.021	0.0605	0.0404	
Locus543	0.0236	0.0105	0.0185	0.045	0.027	
Locus544	0.022	0.0102	0.0185	0.0432	0.0252	
Locus545	0.0146	0.0066	0.012	0.0286	0.0167	
Locus546	0.022	0.0078	0.0118	0.0367	0.0252	
Locus547	0.0314	0.0138	0.0239	0.059	0.0359	
Locus548	0.0213	0.01	0.0186	0.0424	0.0243	
Locus549	0.0669	0.0259	0.0406	0.1139	0.0764	
Locus550	0.0606	0.0225	0.0346	0.1015	0.0693	
Locus551	0.0128	0.0061	0.0117	0.0261	0.0147	
Locus552	0.0541	0.0207	0.0324	0.0922	0.0619	
Locus553	0.0808	0.0319	0.0502	0.1379	0.0924	
Locus554	0.0478	0.0192	0.0311	0.0841	0.0546	
Locus555	0.0609	0.0232	0.0361	0.1032	0.0696	
Locus556	0.061	0.0222	0.0336	0.101	0.0697	
Locus557	0.0631	0.0233	0.0357	0.1052	0.0721	
Locus558	0.0246	0.0092	0.0144	0.0421	0.0281	
Locus559	0.0294	0.0125	0.0213	0.0541	0.0335	
Locus560	0.0344	0.0125	0.0194	0.0579	0.0393	
Locus561	0.0257	0.0118	0.0213	0.0501	0.0294	
Locus562	0.0142	0.0066	0.0122	0.0283	0.0163	
Locus563	0.0449	0.0158	0.0239	0.074	0.0513	
Locus564	0.0202	0.0081	0.0133	0.0361	0.0231	
Locus565	0.013	0.0061	0.0115	0.0262	0.0148	
Locus566	0.0314	0.011	0.0166	0.0519	0.0359	
Locus567	0.0217	0.0098	0.0175	0.0418	0.0248	
Locus568	0.0363	0.0151	0.0253	0.0657	0.0415	
Locus569	0.0536	0.0202	0.0313	0.0907	0.0612	
Locus570	0.0268	0.0105	0.017	0.0471	0.0306	
Locus571	0.0119	0.0043	0.0068	0.0203	0.0136	
Locus572	0.0374	0.0134	0.0205	0.0623	0.0427	
Locus573	0.0117	0.0055	0.0104	0.0236	0.0133	
Locus574	0.0112	0.0054	0.0102	0.0229	0.0128	
Locus575	0.0066	0.003	0.0055	0.013	0.0075	
Locus576	0.037	0.0135	0.0208	0.0622	0.0423	
Locus577	0.0132	0.0061	0.0114	0.0262	0.015	
Locus578	0.0433	0.0164	0.0257	0.0739	0.0495	
Locus579	0.0115	0.0051	0.0091	0.0222	0.0132	
Locus580	0.0139	0.0067	0.0126	0.0283	0.0159	
Locus581	0.0382	0.015	0.0242	0.0668	0.0437	
Locus582	0.0353	0.0142	0.0232	0.0626	0.0403	
Locus583	0.009	0.004	0.0071	0.0173	0.0102	
Locus584	0.0741	0.0295	0.0467	0.1274	0.0847	
Locus585	0.0147	0.0068	0.0124	0.029	0.0169	
Locus586	0.0211	0.0081	0.013	0.0368	0.0241	
Locus587	0.0133	0.0064	0.0121	0.0271	0.0152	
Locus588	0.0615	0.0223	0.0337	0.1016	0.0703	
Locus589	0.0467	0.0183	0.0293	0.0812	0.0534	
Locus590	0.0399	0.0178	0.0311	0.0753	0.0455	
Locus591	0.0267	0.0103	0.0164	0.0465	0.0305	
Locus592	0.0398	0.0151	0.0238	0.0682	0.0454	
Locus593	0.0304	0.0124	0.0205	0.0545	0.0347	
Locus594	0.0178	0.0066	0.0103	0.0304	0.0203	
Locus595	0.0339	0.0147	0.0253	0.0631	0.0388	
Locus596	0.0373	0.0134	0.0205	0.0623	0.0426	
Locus597	0.0105	0.0041	0.0066	0.0186	0.0121	
Locus598	0.0211	0.0088	0.0148	0.0386	0.0241	
Locus599	0.0259	0.0098	0.0157	0.0447	0.0296	
Locus600	0.0092	0.004	0.0069	0.0173	0.0105	
Locus601	0.0234	0.0101	0.0173	0.0436	0.0267	
Locus602	0.0285	0.0129	0.0231	0.0549	0.0325	
Locus603	0.0216	0.0081	0.0128	0.0371	0.0247	
Locus604	0.0074	0.0034	0.0062	0.0146	0.0084	
Locus605	0.0217	0.0093	0.016	0.0404	0.0248	
Locus606	0.0337	0.0146	0.0252	0.0628	0.0385	
Locus607	0.0848	0.0314	0.0475	0.1399	0.0969	
Locus608	0.0136	0.0057	0.0097	0.0251	0.0156	
Locus609	0.0332	0.0126	0.02	0.0571	0.038	
Locus610	0.0242	0.0099	0.0165	0.0438	0.0277	
Locus611	0.0307	0.0117	0.0185	0.0529	0.0351	
Locus612	0.0212	0.0089	0.0151	0.039	0.0242	
Locus613	0.0253	0.0114	0.0202	0.0485	0.0289	
Locus614	0.0102	0.0046	0.0082	0.0198	0.0117	
Locus615	0.0395	0.0174	0.0302	0.0739	0.0451	
Locus616	0.0267	0.0106	0.0172	0.0472	0.0305	
Locus617	0.0242	0.0106	0.0186	0.0457	0.0277	
Locus618	0.1006	0.0456	0.0769	0.183	0.1149	
Locus619	0.048	0.0186	0.0295	0.0827	0.0548	
Locus620	0.0119	0.0052	0.0091	0.0226	0.0136	
Locus621	0.0166	0.0076	0.014	0.0327	0.019	
Locus622	0.0153	0.0071	0.0131	0.0303	0.0175	
Locus623	0.0099	0.0048	0.0091	0.0203	0.0113	
Locus624	0.0379	0.0152	0.0248	0.067	0.0433	
Locus625	0.0139	0.0057	0.0096	0.0253	0.0159	
Locus626	0.04	0.0176	0.0304	0.0748	0.0458	
Locus627	0.0373	0.0163	0.028	0.0695	0.0426	
Locus628	0.0466	0.0169	0.0259	0.0777	0.0532	
Locus629	0.0778	0.0295	0.0453	0.1301	0.0889	
Locus630	0.0249	0.0097	0.0156	0.0436	0.0285	
Locus631	0.0164	0.0068	0.0115	0.0301	0.0188	
Locus632	0.0076	0.0037	0.007	0.0157	0.0087	
Locus633	0.0087	0.0041	0.0075	0.0174	0.01	
Locus634	0.025	0.0095	0.015	0.0432	0.0286	
Locus635	0.0812	0.0329	0.0524	0.1404	0.0928	
Locus636	0.0328	0.0132	0.0216	0.0584	0.0375	
Locus637	0.0341	0.0147	0.0251	0.0631	0.0389	
Locus638	0.0255	0.0095	0.0149	0.0436	0.0291	
Locus639	0.0223	0.0082	0.0128	0.038	0.0255	
Locus640	0.0067	0.0032	0.0059	0.0135	0.0077	
Locus641	0.0262	0.0098	0.0155	0.045	0.03	
Locus642	0.0208	0.0079	0.0125	0.036	0.0238	
Locus643	0.0294	0.0105	0.0161	0.0491	0.0335	
Locus644	0.0291	0.0127	0.0219	0.0545	0.0333	
Locus645	0.0268	0.0104	0.0166	0.0468	0.0306	
Locus646	0.0115	0.0054	0.0101	0.0231	0.0131	
Locus647	0.0391	0.0139	0.0212	0.0649	0.0446	
Locus648	0.0083	0.0039	0.0071	0.0166	0.0095	
Locus649	0.0524	0.0209	0.0336	0.0915	0.0599	
Locus650	0.0591	0.0219	0.0335	0.0988	0.0675	
Locus651	0.044	0.0175	0.0282	0.0771	0.0503	
Locus652	0.0214	0.0101	0.0189	0.0428	0.0244	
Locus653	0.0094	0.0043	0.0079	0.0186	0.0108	
Locus654	0.0324	0.0144	0.0251	0.0612	0.037	
Locus655	0.0182	0.0071	0.0116	0.0322	0.0208	
Locus656	0.0263	0.0119	0.0213	0.0507	0.0301	
Locus657	0.0208	0.0093	0.0166	0.04	0.0238	
Locus658	0.0568	0.0252	0.0432	0.1053	0.0649	
Locus659	0.0133	0.0057	0.01	0.025	0.0152	
Locus660	0.0146	0.0068	0.0125	0.0289	0.0166	
Locus661	0.0256	0.0111	0.0194	0.048	0.0293	
Locus662	0.0647	0.0285	0.0486	0.1189	0.0739	
Locus663	0.0234	0.011	0.0202	0.0464	0.0268	
Locus664	0.0255	0.0122	0.023	0.0514	0.0291	
Locus665	0.0328	0.0147	0.0259	0.0624	0.0374	
Locus666	0.0472	0.0202	0.0341	0.0862	0.0539	
Locus667	0.0238	0.0085	0.013	0.0399	0.0272	
Locus668	0.0232	0.01	0.0174	0.0435	0.0265	
Locus669	0.0148	0.007	0.0131	0.0298	0.0169	
Locus670	0.0238	0.0115	0.0219	0.0485	0.0272	
Locus671	0.0695	0.0251	0.0378	0.1142	0.0794	
Locus672	0.0346	0.0138	0.0225	0.0611	0.0395	
Locus673	0.0233	0.0087	0.0137	0.0399	0.0266	
Locus674	0.0113	0.005	0.0089	0.0218	0.0129	
Locus675	0.0158	0.0073	0.0135	0.0313	0.0181	
Locus676	0.0261	0.0116	0.0204	0.0497	0.0299	
Locus677	0.0825	0.0372	0.0634	0.1517	0.0943	
Locus678	0.013	0.0047	0.0073	0.022	0.0148	
Locus679	0.047	0.0182	0.0289	0.0811	0.0537	
Locus680	0.0412	0.0171	0.0284	0.0741	0.0471	
Locus681	0.013	0.0057	0.01	0.0247	0.0148	
Locus682	0.0119	0.0051	0.0089	0.0225	0.0137	
Locus683	0.0196	0.009	0.0164	0.0385	0.0224	
Locus684	0.0537	0.0194	0.0294	0.089	0.0614	
Locus685	0.0183	0.0086	0.0161	0.0367	0.0209	
Locus686	0.0249	0.0096	0.0154	0.0434	0.0284	
Locus687	0.0122	0.0056	0.0101	0.0239	0.0139	
Locus688	0.0082	0.0038	0.0071	0.0164	0.0093	
Locus689	0.0401	0.0145	0.0221	0.0669	0.0459	
Locus690	0.024	0.0112	0.0206	0.0475	0.0275	
Locus691	0.0175	0.0066	0.0106	0.0304	0.02	
Locus692	0.0455	0.0184	0.0301	0.0805	0.052	
Locus693	0.0327	0.0145	0.0254	0.0619	0.0374	
Locus694	0.0603	0.0244	0.0393	0.1055	0.0689	
Locus695	0.0156	0.0073	0.0136	0.0312	0.0178	
Locus696	0.0354	0.0134	0.021	0.0606	0.0404	
Locus697	0.0331	0.0131	0.0213	0.0583	0.0378	
Locus698	0.0089	0.0042	0.0077	0.0179	0.0102	
Locus699	0.0292	0.0113	0.0181	0.0508	0.0333	
Locus700	0.0279	0.0127	0.0226	0.0538	0.0319	
Locus701	0.0192	0.0075	0.0121	0.0338	0.0219	
Locus702	0.0314	0.012	0.019	0.0542	0.0359	
Locus703	0.0319	0.0114	0.0175	0.0533	0.0365	
Locus704	0.0542	0.02	0.0306	0.0907	0.062	
Locus705	0.0296	0.0135	0.0243	0.0574	0.0339	
Locus706	0.0193	0.009	0.0166	0.0383	0.0221	
Locus707	0.0585	0.0243	0.0399	0.1041	0.0669	
Locus708	0.0675	0.0259	0.0402	0.1143	0.0772	
Locus709	0.0167	0.008	0.0151	0.034	0.0191	
Locus710	0.0306	0.0145	0.0267	0.0608	0.035	
Locus711	0.0201	0.0095	0.0176	0.0402	0.023	
Locus712	0.0212	0.0085	0.0139	0.0378	0.0243	
Locus713	0.0951	0.0366	0.0561	0.1587	0.1086	
Locus714	0.0181	0.0072	0.0119	0.0323	0.0206	
Locus715	0.0137	0.0062	0.0113	0.0267	0.0156	
Locus716	0.0105	0.0048	0.0088	0.0207	0.012	
Locus717	0.0235	0.0106	0.0188	0.0451	0.0268	
Locus718	0.026	0.012	0.0217	0.0508	0.0297	
Locus719	0.0287	0.0109	0.0173	0.0495	0.0328	
Locus720	0.0876	0.038	0.0628	0.1566	0.1001	
Locus721	0.0513	0.0227	0.0392	0.0955	0.0586	
Locus722	0.0264	0.012	0.0214	0.0509	0.0302	
Locus723	0.0242	0.0102	0.0174	0.0446	0.0276	
Locus724	0.0196	0.0092	0.0169	0.0389	0.0224	
Locus725	0.0189	0.0089	0.0164	0.0376	0.0216	
Locus726	0.0122	0.0051	0.0087	0.0225	0.014	
Locus727	0.0579	0.0239	0.039	0.1026	0.0662	
Locus728	0.0127	0.0054	0.0094	0.0237	0.0145	
Locus729	0.0456	0.0208	0.0368	0.087	0.0522	
Locus730	0.0372	0.0137	0.0212	0.0627	0.0425	
Locus731	0.0092	0.004	0.0069	0.0174	0.0106	
Locus732	0.0782	0.0307	0.048	0.1331	0.0894	
Locus733	0.0174	0.0079	0.0144	0.034	0.0199	
Locus734	0.0099	0.0044	0.0078	0.0191	0.0114	
Locus735	0.0382	0.0147	0.0234	0.0661	0.0437	
Locus736	0.0179	0.0078	0.0137	0.0339	0.0205	
Locus737	0.0081	0.0038	0.007	0.0162	0.0093	
Locus738	0.0217	0.0079	0.0122	0.0367	0.0248	
Locus739	0.0241	0.0111	0.0203	0.0473	0.0276	
Locus740	0.0554	0.0232	0.0384	0.0993	0.0633	
Locus741	0.0345	0.012	0.0181	0.0568	0.0394	
Locus742	0.0268	0.0112	0.0189	0.0489	0.0306	
Locus743	0.0215	0.008	0.0125	0.0367	0.0245	
Locus744	0.0162	0.0066	0.0109	0.0292	0.0186	
Locus745	0.0537	0.0232	0.0394	0.0983	0.0613	
Locus746	0.0327	0.015	0.0269	0.0632	0.0373	
Locus747	0.0472	0.0181	0.0284	0.0809	0.054	
Locus748	0.0614	0.0224	0.034	0.1018	0.0702	
Locus749	0.0911	0.0385	0.0624	0.1601	0.1041	
Locus750	0.0192	0.0083	0.0145	0.0361	0.022	
Locus751	0.0081	0.0038	0.0073	0.0164	0.0092	
Locus752	0.0208	0.0072	0.011	0.0345	0.0238	
Locus753	0.0388	0.0148	0.0233	0.0666	0.0443	
Locus754	0.0308	0.0134	0.0232	0.0576	0.0352	
Locus755	0.0075	0.0034	0.0063	0.0147	0.0085	
Locus756	0.0364	0.0129	0.0195	0.0603	0.0416	
Locus757	0.0134	0.0053	0.0087	0.0238	0.0153	
Locus758	0.0317	0.0112	0.0169	0.0526	0.0363	
Locus759	0.0462	0.0184	0.0298	0.081	0.0528	
Locus760	0.0428	0.0158	0.0244	0.0722	0.049	
Locus761	0.0346	0.0139	0.0227	0.0613	0.0395	
Locus762	0.0193	0.0079	0.0133	0.0351	0.0221	
Locus763	0.0424	0.0179	0.0302	0.0772	0.0484	
Locus764	0.0279	0.0118	0.02	0.0512	0.0319	
Locus765	0.012	0.0052	0.0092	0.0228	0.0138	
Locus766	0.0377	0.0165	0.0285	0.0703	0.0431	
Locus767	0.0179	0.0074	0.0125	0.0327	0.0205	
Locus768	0.0098	0.0043	0.0076	0.0187	0.0112	
Locus769	0.0424	0.0177	0.0295	0.0765	0.0484	
Locus770	0.0417	0.016	0.0253	0.0717	0.0476	
Locus771	0.0609	0.0237	0.0374	0.1044	0.0696	
Locus772	0.0141	0.0062	0.0111	0.027	0.0161	
Locus773	0.0762	0.031	0.0498	0.1325	0.0871	
Locus774	0.0156	0.0076	0.0146	0.0321	0.0178	
Locus775	0.0517	0.0208	0.0337	0.0908	0.0591	
Locus776	0.0245	0.0089	0.0137	0.0414	0.028	
Locus777	0.0147	0.0071	0.0137	0.0302	0.0168	
Locus778	0.0241	0.0104	0.0179	0.0449	0.0275	
Locus779	0.0092	0.0041	0.0074	0.0178	0.0105	
Locus780	0.0176	0.0079	0.0143	0.0341	0.0201	
Locus781	0.0264	0.0106	0.0174	0.047	0.0301	
Locus782	0.0137	0.0062	0.0112	0.0267	0.0157	
Locus783	0.0431	0.0179	0.0296	0.0774	0.0493	
Locus784	0.0525	0.0196	0.0303	0.0885	0.06	
Locus785	0.034	0.0135	0.0218	0.0598	0.0389	
Locus786	0.0195	0.0081	0.0136	0.0356	0.0223	
Locus787	0.0141	0.0064	0.0118	0.0276	0.0161	
Locus788	0.046	0.019	0.0312	0.0822	0.0526	
Locus789	0.0086	0.0039	0.0072	0.017	0.0098	
Locus790	0.0935	0.0366	0.0568	0.1576	0.1069	
Locus791	0.0133	0.0061	0.0112	0.0262	0.0152	
Locus792	0.0719	0.0284	0.0449	0.1234	0.0822	
Locus793	0.0191	0.0067	0.0101	0.0317	0.0219	
Locus794	0.0097	0.0046	0.0087	0.0196	0.0111	
Locus795	0.0293	0.0131	0.0232	0.0559	0.0335	
Locus796	0.0166	0.0068	0.0113	0.0301	0.019	
Locus797	0.0226	0.0089	0.0145	0.04	0.0259	
Locus798	0.0224	0.0104	0.0191	0.0442	0.0256	
Locus799	0.0431	0.0189	0.0326	0.0803	0.0493	
Locus800	0.0617	0.0221	0.0332	0.1013	0.0705	
Locus801	0.0223	0.0089	0.0147	0.0398	0.0255	
Locus802	0.0701	0.0259	0.0393	0.1163	0.0801	
Locus803	0.0438	0.0172	0.0277	0.0763	0.05	
Locus804	0.0223	0.01	0.0177	0.0428	0.0255	
Locus805	0.0114	0.0054	0.01	0.0229	0.013	
Locus806	0.0316	0.0129	0.0212	0.0566	0.0362	
Locus807	0.0249	0.0114	0.0205	0.0484	0.0285	
Locus808	0.0363	0.0136	0.0213	0.0619	0.0414	
Locus809	0.0695	0.0254	0.0386	0.115	0.0795	
Locus810	0.0349	0.0157	0.0277	0.0664	0.0399	
Locus811	0.0446	0.0208	0.0374	0.0864	0.0509	
Locus812	0.0302	0.0123	0.0204	0.0542	0.0345	
Locus813	0.0117	0.0051	0.0091	0.0223	0.0134	
Locus814	0.0203	0.0079	0.0129	0.0357	0.0232	
Locus815	0.0128	0.006	0.0113	0.0258	0.0146	
Locus816	0.0908	0.0343	0.0521	0.1505	0.1037	
Locus817	0.0178	0.0081	0.0146	0.0346	0.0203	
Locus818	0.0154	0.0072	0.0134	0.0308	0.0176	
Locus819	0.0391	0.0154	0.0247	0.0683	0.0446	
Locus820	0.0337	0.0126	0.0197	0.0575	0.0386	
Locus821	0.0257	0.0121	0.0223	0.051	0.0293	
Locus822	0.0275	0.0123	0.0219	0.0526	0.0314	
Locus823	0.0271	0.0105	0.0167	0.0472	0.031	
Locus824	0.0614	0.0236	0.0369	0.1045	0.0702	
Locus825	0.0314	0.0116	0.0181	0.0534	0.0359	
Locus826	0.0649	0.0253	0.0399	0.1111	0.0742	
Locus827	0.0215	0.0095	0.0166	0.0408	0.0246	
Locus828	0.0211	0.0094	0.0168	0.0405	0.0241	
Locus829	0.0472	0.0204	0.0346	0.0866	0.0539	
Locus830	0.031	0.0135	0.0232	0.0578	0.0355	
Locus831	0.0114	0.0049	0.0086	0.0215	0.013	
Locus832	0.0203	0.0093	0.0168	0.0397	0.0232	
Locus833	0.0388	0.0152	0.0244	0.0677	0.0443	
Locus834	0.0122	0.0055	0.0098	0.0237	0.014	
Locus835	0.0166	0.0074	0.0132	0.0319	0.019	
Locus836	0.1094	0.0435	0.0673	0.1839	0.125	
Locus837	0.045	0.0167	0.0259	0.076	0.0514	
Locus838	0.0328	0.0152	0.0275	0.0639	0.0375	
Locus839	0.013	0.0059	0.0107	0.0255	0.0149	
Locus840	0.0208	0.0085	0.0143	0.0377	0.0238	
Locus841	0.0197	0.0082	0.0137	0.0359	0.0226	
Locus842	0.0231	0.0112	0.0211	0.0469	0.0264	
Locus843	0.0285	0.0116	0.0191	0.051	0.0326	
Locus844	0.0147	0.0067	0.0122	0.0288	0.0169	
Locus845	0.0122	0.0058	0.0108	0.0246	0.014	
Locus846	0.0255	0.0094	0.0146	0.0433	0.0291	
Locus847	0.0434	0.018	0.03	0.078	0.0496	
Locus848	0.0202	0.0075	0.0118	0.0346	0.023	
Locus849	0.0564	0.0204	0.0309	0.0934	0.0645	
Locus850	0.0178	0.0085	0.016	0.0361	0.0204	
Locus851	0.0245	0.0092	0.0145	0.0421	0.0281	
Locus852	0.015	0.0068	0.0124	0.0294	0.0171	
Locus853	0.0364	0.0134	0.0208	0.0616	0.0416	
Locus854	0.0179	0.0085	0.016	0.0361	0.0205	
Locus855	0.0169	0.0075	0.0132	0.0323	0.0193	
Locus856	0.0436	0.0173	0.0279	0.0764	0.0499	
Locus857	0.0151	0.0071	0.0134	0.0303	0.0172	
Locus858	0.1237	0.0514	0.0809	0.2109	0.1414	
Locus859	0.0347	0.0143	0.0238	0.0625	0.0396	
Locus860	0.0368	0.0172	0.0314	0.0721	0.0421	
Locus861	0.0405	0.0164	0.0268	0.0718	0.0463	
Locus862	0.0258	0.0115	0.0203	0.0491	0.0294	
Locus863	0.0132	0.0063	0.0118	0.0266	0.0151	
Locus864	0.0318	0.0135	0.023	0.0585	0.0363	
Locus865	0.0123	0.0046	0.0074	0.0213	0.014	
Locus866	0.0448	0.0173	0.0274	0.0771	0.0511	
Locus867	0.0089	0.0041	0.0074	0.0175	0.0102	
Locus868	0.027	0.0104	0.0168	0.0471	0.0308	
Locus869	0.0288	0.0108	0.0169	0.0492	0.0329	
Locus870	0.0313	0.0116	0.018	0.0531	0.0357	
Locus871	0.0503	0.0204	0.0331	0.0886	0.0574	
Locus872	0.0323	0.0125	0.02	0.0562	0.0369	
Locus873	0.0587	0.0224	0.035	0.0998	0.0671	
Locus874	0.0313	0.0127	0.0209	0.056	0.0358	
Locus875	0.0322	0.012	0.0188	0.0549	0.0368	
Locus876	0.017	0.0082	0.0154	0.0346	0.0194	
Locus877	0.0482	0.0201	0.0332	0.0865	0.0551	
Locus878	0.0872	0.0381	0.0635	0.1568	0.0996	
Locus879	0.0051	0.0023	0.0042	0.01	0.0058	
Locus880	0.0158	0.0071	0.0128	0.0306	0.018	
Locus881	0.0341	0.0158	0.0285	0.0664	0.039	
Locus882	0.0211	0.0101	0.0189	0.0426	0.0241	
Locus883	0.029	0.0103	0.0157	0.0483	0.0332	
Locus884	0.0247	0.0106	0.0182	0.0459	0.0282	
Locus885	0.0147	0.0066	0.012	0.0286	0.0168	
Locus886	0.0126	0.0056	0.0101	0.0243	0.0144	
Locus887	0.0182	0.0086	0.0161	0.0366	0.0208	
Locus888	0.0276	0.0111	0.0183	0.0493	0.0315	
Locus889	0.0336	0.0131	0.021	0.0586	0.0383	
Locus890	0.038	0.014	0.0216	0.0641	0.0434	
Locus891	0.0563	0.0204	0.0311	0.0935	0.0644	
Locus892	0.0276	0.0124	0.0219	0.0527	0.0315	
Locus893	0.0358	0.0132	0.0206	0.0607	0.041	
Locus894	0.0112	0.0052	0.0095	0.0222	0.0128	
Locus895	0.0365	0.0128	0.0193	0.0603	0.0417	
Locus896	0.0612	0.0254	0.0417	0.1087	0.0699	
Locus897	0.012	0.005	0.0085	0.0221	0.0137	
Locus898	0.0081	0.0036	0.0066	0.0157	0.0092	
Locus899	0.0688	0.032	0.0564	0.1306	0.0786	
Locus900	0.0272	0.0104	0.0166	0.0471	0.031	
Locus901	0.0256	0.0091	0.0138	0.0427	0.0293	
Locus902	0.0221	0.01	0.0179	0.0427	0.0252	
Locus903	0.0216	0.0095	0.0167	0.041	0.0247	
Locus904	0.022	0.0105	0.0195	0.0442	0.0252	
Locus905	0.0429	0.0187	0.0322	0.0797	0.0491	
Locus906	0.0671	0.0257	0.0401	0.1136	0.0766	
Locus907	0.0729	0.0289	0.0456	0.1251	0.0833	
Locus908	0.0397	0.0153	0.0243	0.0686	0.0453	
Locus909	0.0122	0.0056	0.0103	0.024	0.0139	
Locus910	0.0102	0.0045	0.0079	0.0195	0.0116	
Locus911	0.0201	0.0075	0.0118	0.0345	0.0229	
Locus912	0.0451	0.0189	0.0315	0.0814	0.0515	
Locus913	0.0932	0.035	0.053	0.1539	0.1065	
