loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus184	0.0437	0.0202	0.0363	0.0844	0.05	
Locus185	0.0175	0.0082	0.015	0.0347	0.02	
Locus186	0.0643	0.025	0.0393	0.1099	0.0735	
Locus187	0.0165	0.0074	0.0134	0.032	0.0189	
Locus188	0.0514	0.0187	0.0285	0.0856	0.0587	
Locus189	0.0199	0.0078	0.0126	0.035	0.0227	
Locus190	0.0123	0.0053	0.0093	0.0232	0.014	
Locus191	0.0435	0.016	0.0248	0.0732	0.0497	
Locus192	0.0184	0.0088	0.0167	0.0373	0.021	
Locus193	0.011	0.0046	0.0077	0.0202	0.0126	
Locus194	0.047	0.0166	0.025	0.0773	0.0537	
Locus195	0.0242	0.0111	0.0202	0.0474	0.0277	
Locus196	0.0321	0.0141	0.0246	0.0603	0.0367	
Locus197	0.0135	0.0059	0.0105	0.0258	0.0154	
Locus198	0.0067	0.0032	0.006	0.0136	0.0077	
Locus199	0.0177	0.0071	0.0118	0.0318	0.0202	
Locus200	0.0923	0.0366	0.0572	0.1567	0.1055	
Locus201	0.0121	0.0058	0.0109	0.0246	0.0138	
Locus202	0.0402	0.0176	0.0303	0.0748	0.0459	
Locus203	0.0143	0.0069	0.013	0.0291	0.0164	
Locus204	0.0215	0.0105	0.02	0.0441	0.0245	
Locus205	0.012	0.0058	0.0111	0.0247	0.0138	
Locus206	0.0179	0.0077	0.0133	0.0335	0.0204	
Locus207	0.0342	0.0132	0.0211	0.0594	0.0391	
Locus208	0.0483	0.0206	0.0348	0.0881	0.0552	
Locus209	0.0106	0.0046	0.0082	0.0202	0.0122	
Locus210	0.0536	0.0213	0.0342	0.0933	0.0612	
Locus211	0.0085	0.004	0.0076	0.0172	0.0097	
Locus212	0.0125	0.0049	0.0079	0.0221	0.0143	
Locus213	0.0488	0.0192	0.0307	0.0847	0.0557	
Locus214	0.0784	0.0353	0.0603	0.1445	0.0896	
Locus215	0.0576	0.0243	0.0404	0.1036	0.0659	
Locus216	0.0716	0.0283	0.0448	0.123	0.0818	
Locus217	0.054	0.0201	0.031	0.0908	0.0618	
Locus218	0.0767	0.0303	0.0478	0.1312	0.0876	
Locus219	0.0189	0.0069	0.0106	0.032	0.0216	
Locus220	0.0293	0.0112	0.0179	0.0507	0.0334	
Locus221	0.0865	0.034	0.0531	0.1467	0.0988	
Locus222	0.0403	0.0174	0.0296	0.0743	0.0461	
Locus223	0.0692	0.0267	0.0417	0.1174	0.0791	
Locus224	0.0649	0.0297	0.0519	0.1223	0.0742	
Locus225	0.0084	0.0037	0.0066	0.0161	0.0096	
Locus226	0.0275	0.0129	0.0237	0.0544	0.0315	
Locus227	0.01	0.0041	0.007	0.0184	0.0115	
Locus228	0.0151	0.0057	0.0091	0.0262	0.0173	
Locus229	0.0181	0.008	0.0142	0.0345	0.0206	
Locus230	0.0361	0.0162	0.0285	0.0686	0.0413	
Locus231	0.0157	0.0074	0.0138	0.0316	0.018	
Locus232	0.0124	0.0059	0.0112	0.0252	0.0142	
Locus233	0.0298	0.0109	0.0168	0.0503	0.0341	
Locus234	0.0361	0.0166	0.0298	0.0699	0.0413	
Locus235	0.0196	0.0093	0.0174	0.0394	0.0224	
