loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus684	-0.0052	-0.0113	-0.0120	-0.0060	 0.2902	-0.0201	 0.2759
Locus685	 0.0255	 0.0295	 0.0330	 0.0040	 0.3155	 0.0139	 0.3250
Locus686	-0.0103	-0.0166	-0.0181	-0.0063	-0.0709	-0.0074	-0.0789
Locus687	 0.0136	 0.0154	 0.0173	 0.0018	-0.0724	 0.0201	-0.0508
Locus688	 0.0001	 0.0001	 0.0001	 0.0000	 0.1918	-0.0103	 0.1835
Locus689	 0.0147	 0.0298	 0.0319	 0.0154	 0.0167	 0.0191	 0.0355
Locus690	 0.0667	 0.0793	 0.0879	 0.0135	 0.3430	 0.0641	 0.3851
Locus691	 0.0103	 0.0166	 0.0180	 0.0064	 0.2601	-0.0004	 0.2598
Locus692	 0.0526	 0.0756	 0.0825	 0.0243	-0.0180	 0.0545	 0.0375
Locus693	 0.0997	 0.1401	 0.1522	 0.0449	 0.6326	 0.0778	 0.6612
Locus694	 0.0969	 0.1654	 0.1768	 0.0759	 0.4475	 0.0901	 0.4973
Locus695	 0.0628	 0.0703	 0.0785	 0.0080	 0.1346	 0.0641	 0.1901
Locus696	 0.0457	 0.0931	 0.0990	 0.0497	-0.0336	 0.0486	 0.0166
Locus697	 0.0644	 0.1192	 0.1272	 0.0585	 0.6982	 0.0408	 0.7105
Locus698	 0.0002	 0.0002	 0.0002	 0.0000	 0.3792	-0.0205	 0.3665
Locus699	-0.0146	-0.0253	-0.0274	-0.0105	-0.2127	-0.0056	-0.2194
Locus700	 0.0450	 0.0534	 0.0594	 0.0088	 0.0253	 0.0567	 0.0806
Locus701	 0.0141	 0.0222	 0.0242	 0.0082	 0.3814	-0.0007	 0.3809
Locus702	 0.0029	 0.0047	 0.0051	 0.0018	-0.0559	 0.0060	-0.0496
Locus703	 0.0366	 0.0757	 0.0805	 0.0406	-0.0793	 0.0410	-0.0351
Locus704	 0.0256	 0.0479	 0.0513	 0.0228	 0.1948	 0.0148	 0.2067
Locus705	 0.0991	 0.1144	 0.1268	 0.0170	 0.0114	 0.1144	 0.1245
Locus706	 0.1736	 0.1950	 0.2145	 0.0259	 0.3685	 0.1752	 0.4791
Locus707	 0.1052	 0.1478	 0.1604	 0.0476	 0.1872	 0.1067	 0.2739
Locus708	 0.1663	 0.3007	 0.3169	 0.1613	 0.2181	 0.1626	 0.3452
Locus709	 0.0055	 0.0063	 0.0070	 0.0008	 0.6603	-0.0298	 0.6502
Locus710	 0.1080	 0.1308	 0.1440	 0.0256	 0.6061	 0.0861	 0.6400
Locus711	 0.0842	 0.0928	 0.1036	 0.0094	 0.1179	 0.0873	 0.1949
Locus712	-0.0228	-0.0331	-0.0364	-0.0100	-0.0837	-0.0216	-0.1071
Locus713	 0.0749	 0.1458	 0.1549	 0.0767	-0.1442	 0.0813	-0.0511
Locus714	 0.0241	 0.0376	 0.0409	 0.0138	 0.5149	-0.0024	 0.5138
