loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus368	-0.0099	-0.0125	-0.0139	-0.0026	 0.4907	-0.0370	 0.4718
Locus369	 0.0456	 0.0530	 0.0592	 0.0078	 0.2289	 0.0413	 0.2608
Locus370	 0.0131	 0.0264	 0.0282	 0.0134	-0.1180	 0.0192	-0.0966
Locus371	 0.0073	 0.0100	 0.0110	 0.0027	 0.4040	-0.0080	 0.3992
Locus372	 0.0820	 0.1107	 0.1210	 0.0313	 0.4263	 0.0567	 0.4588
Locus373	-0.0071	-0.0083	-0.0093	-0.0011	 0.3404	-0.0275	 0.3223
Locus374	 0.0069	 0.0135	 0.0145	 0.0066	 0.0337	 0.0057	 0.0391
Locus375	 0.0425	 0.0866	 0.0921	 0.0460	-0.0415	 0.0399	 0.0002
Locus376	 0.0570	 0.0720	 0.0795	 0.0158	 0.2225	 0.0512	 0.2623
Locus377	 0.0256	 0.0333	 0.0368	 0.0079	 0.0534	 0.0239	 0.0760
Locus378	-0.0244	-0.0531	-0.0568	-0.0280	-0.1699	-0.0198	-0.1930
Locus379	 0.0135	 0.0158	 0.0177	 0.0023	 0.2875	 0.0053	 0.2913
Locus380	 0.0226	 0.0416	 0.0446	 0.0194	 0.3290	 0.0072	 0.3339
Locus381	 0.1063	 0.1681	 0.1805	 0.0691	-0.1868	 0.1157	-0.0495
Locus382	 0.0102	 0.0202	 0.0216	 0.0100	 0.3566	-0.0067	 0.3523
Locus383	 0.0796	 0.1392	 0.1489	 0.0647	 0.4266	 0.0634	 0.4630
Locus384	-0.0203	-0.0312	-0.0342	-0.0106	 0.1421	-0.0308	 0.1157
Locus385	 0.0652	 0.0868	 0.0952	 0.0231	 0.4958	 0.0521	 0.5221
Locus386	 0.0324	 0.0399	 0.0443	 0.0078	 0.5423	 0.0160	 0.5496
Locus387	 0.0227	 0.0259	 0.0290	 0.0032	 0.3203	 0.0115	 0.3281
Locus388	 0.0182	 0.0206	 0.0231	 0.0024	 0.3664	 0.0050	 0.3695
Locus389	 0.1325	 0.1578	 0.1734	 0.0292	 0.4221	 0.1398	 0.5029
Locus390	 0.0468	 0.0729	 0.0791	 0.0274	 0.0474	 0.0561	 0.1009
Locus391	 0.0166	 0.0199	 0.0222	 0.0033	 0.2244	 0.0052	 0.2284
Locus392	 0.0205	 0.0336	 0.0364	 0.0133	 0.4147	-0.0048	 0.4119
Locus393	 0.0091	 0.0113	 0.0125	 0.0022	 0.2903	-0.0020	 0.2888
Locus394	 0.0336	 0.0465	 0.0511	 0.0134	-0.1300	 0.0396	-0.0853
Locus395	-0.0042	-0.0049	-0.0055	-0.0007	 0.6575	-0.0461	 0.6417
Locus396	 0.0557	 0.0816	 0.0888	 0.0274	 0.3641	 0.0443	 0.3922
Locus397	-0.0093	-0.0123	-0.0137	-0.0030	 0.1699	-0.0180	 0.1549
Locus398	 0.0401	 0.0692	 0.0745	 0.0303	 0.2296	 0.0310	 0.2535
Locus399	 0.0272	 0.0555	 0.0591	 0.0291	 0.1551	 0.0235	 0.1749
Locus400	 0.0680	 0.1151	 0.1236	 0.0505	 0.2341	 0.0703	 0.2879
Locus401	 0.0151	 0.0252	 0.0273	 0.0102	-0.0378	 0.0225	-0.0145
Locus402	 0.1128	 0.2077	 0.2203	 0.1070	-0.0001	 0.1307	 0.1306
Locus403	-0.0078	-0.0095	-0.0106	-0.0017	 0.2167	-0.0198	 0.2012
Locus404	 0.0023	 0.0047	 0.0050	 0.0024	-0.1623	 0.0101	-0.1506
Locus405	 0.0450	 0.0861	 0.0920	 0.0430	 0.4929	 0.0091	 0.4975
Locus406	 0.4020	 0.5018	 0.5288	 0.1669	 0.2839	 0.4296	 0.5916
Locus407	 0.0218	 0.0428	 0.0457	 0.0214	 0.1666	 0.0127	 0.1772
Locus408	-0.0026	-0.0041	-0.0045	-0.0015	-0.1269	 0.0050	-0.1212
Locus409	 0.0786	 0.1539	 0.1632	 0.0817	 0.6398	 0.0534	 0.6590
Locus410	 0.1220	 0.1559	 0.1703	 0.0386	 0.5427	 0.1062	 0.5913
Locus411	 0.0058	 0.0068	 0.0077	 0.0010	 0.4315	-0.0183	 0.4211
Locus412	 0.0517	 0.0625	 0.0694	 0.0114	-0.0084	 0.0587	 0.0507
Locus413	 0.0027	 0.0032	 0.0036	 0.0005	 0.0587	 0.0017	 0.0603
Locus414	 0.0927	 0.1812	 0.1919	 0.0975	-0.2031	 0.1101	-0.0707
Locus415	 0.0340	 0.0538	 0.0583	 0.0204	 0.0937	 0.0280	 0.1191
Locus416	 0.0366	 0.0737	 0.0786	 0.0386	 0.1410	 0.0418	 0.1769
Locus417	 0.0133	 0.0154	 0.0173	 0.0022	 0.5230	-0.0127	 0.5169
Locus418	 0.0744	 0.0886	 0.0982	 0.0154	 0.1224	 0.0765	 0.1895
Locus419	 0.0710	 0.0899	 0.0991	 0.0203	 0.1407	 0.0732	 0.2036
Locus420	 0.0130	 0.0205	 0.0223	 0.0075	 0.6803	-0.0137	 0.6759
Locus421	 0.0274	 0.0376	 0.0413	 0.0104	-0.0130	 0.0329	 0.0203
Locus422	 0.1217	 0.1766	 0.1906	 0.0625	 0.1987	 0.1280	 0.3013
Locus423	 0.0403	 0.0591	 0.0645	 0.0196	 0.4757	 0.0235	 0.4880
Locus424	 0.2356	 0.3315	 0.3533	 0.1255	 0.4822	 0.2492	 0.6112
Locus425	 0.0736	 0.1273	 0.1363	 0.0580	 0.2253	 0.0765	 0.2845
Locus426	-0.0056	-0.0073	-0.0081	-0.0017	-0.0143	-0.0049	-0.0193
Locus427	 0.0618	 0.0758	 0.0839	 0.0149	 0.0846	 0.0695	 0.1482
Locus428	 0.1301	 0.1622	 0.1775	 0.0369	-0.1776	 0.1597	 0.0104
Locus429	 0.1016	 0.1969	 0.2084	 0.1061	-0.1613	 0.1146	-0.0282
Locus430	 0.0373	 0.0768	 0.0817	 0.0410	 0.1768	 0.0272	 0.1992
Locus431	 0.0065	 0.0118	 0.0127	 0.0053	-0.1448	 0.0143	-0.1284
Locus432	 0.0633	 0.0785	 0.0868	 0.0163	-0.0697	 0.0786	 0.0144
Locus433	 0.0155	 0.0230	 0.0252	 0.0077	-0.0242	 0.0160	-0.0078
Locus434	 0.0277	 0.0417	 0.0455	 0.0144	 0.0954	 0.0263	 0.1192
Locus435	 0.0631	 0.0841	 0.0923	 0.0224	 0.0614	 0.0717	 0.1287
Locus436	-0.0230	-0.0330	-0.0364	-0.0098	 0.0841	-0.0297	 0.0569
Locus437	 0.0005	 0.0009	 0.0010	 0.0004	 0.4875	-0.0222	 0.4761
Locus438	 0.0459	 0.0640	 0.0701	 0.0190	 0.3468	 0.0297	 0.3662
Locus439	 0.0217	 0.0269	 0.0299	 0.0053	 0.1283	 0.0169	 0.1430
Locus440	-0.0103	-0.0142	-0.0157	-0.0038	 0.0432	-0.0135	 0.0304
Locus441	-0.0060	-0.0082	-0.0090	-0.0022	 0.1452	-0.0147	 0.1326
Locus442	 0.0234	 0.0268	 0.0301	 0.0036	 0.3231	 0.0061	 0.3273
Locus443	 0.1005	 0.1153	 0.1278	 0.0165	 0.5405	 0.0918	 0.5826
Locus444	 0.1457	 0.1883	 0.2048	 0.0499	 0.3686	 0.1494	 0.4630
Locus445	 0.0258	 0.0458	 0.0493	 0.0205	 0.0822	 0.0252	 0.1053
Locus446	 0.0614	 0.1238	 0.1314	 0.0665	 0.1816	 0.0618	 0.2322
Locus447	-0.0019	-0.0022	-0.0025	-0.0003	 0.1368	-0.0059	 0.1317
Locus448	-0.0118	-0.0172	-0.0189	-0.0053	-0.0284	-0.0092	-0.0378
Locus449	 0.0267	 0.0529	 0.0565	 0.0269	-0.1732	 0.0424	-0.1234
Locus450	-0.0208	-0.0239	-0.0269	-0.0029	 0.1811	-0.0322	 0.1547
Locus451	 0.0113	 0.0127	 0.0143	 0.0014	 0.4231	-0.0065	 0.4194
Locus452	-0.0139	-0.0303	-0.0324	-0.0162	 0.0584	-0.0171	 0.0423
Locus453	 0.1338	 0.1525	 0.1683	 0.0216	-0.0317	 0.1541	 0.1273
Locus454	 0.0358	 0.0716	 0.0763	 0.0371	-0.0860	 0.0465	-0.0354
Locus455	 0.0043	 0.0055	 0.0061	 0.0013	 0.4161	-0.0135	 0.4082
Locus456	 0.1014	 0.1427	 0.1549	 0.0460	-0.1682	 0.1162	-0.0325
Locus457	 0.3033	 0.3759	 0.4018	 0.1042	-0.1607	 0.3519	 0.2478
Locus458	 0.1183	 0.2105	 0.2237	 0.1046	 0.3419	 0.1269	 0.4254
Locus459	 0.0255	 0.0350	 0.0385	 0.0097	 0.2700	 0.0161	 0.2818
Locus460	 0.0529	 0.0955	 0.1023	 0.0449	 0.0607	 0.0554	 0.1127
Locus461	-0.0092	-0.0166	-0.0180	-0.0073	 0.5735	-0.0388	 0.5570
Locus462	 0.1025	 0.1395	 0.1519	 0.0413	 0.5687	 0.0984	 0.6112
Locus463	 0.0036	 0.0045	 0.0050	 0.0009	 0.0137	 0.0049	 0.0185
Locus464	-0.0039	-0.0047	-0.0052	-0.0008	 0.0835	-0.0091	 0.0751
Locus465	 0.0259	 0.0294	 0.0330	 0.0036	 0.1377	 0.0270	 0.1610
Locus466	 0.0010	 0.0011	 0.0013	 0.0002	 0.0803	-0.0051	 0.0756
Locus467	 0.0462	 0.0569	 0.0631	 0.0113	 0.3650	 0.0386	 0.3895
Locus468	 0.0560	 0.1069	 0.1140	 0.0539	 0.2674	 0.0417	 0.2980
Locus469	 0.0601	 0.0884	 0.0961	 0.0301	-0.0981	 0.0767	-0.0139
Locus470	-0.0297	-0.0475	-0.0520	-0.0173	-0.1010	-0.0285	-0.1324
Locus471	-0.0102	-0.0118	-0.0133	-0.0016	 0.1493	-0.0219	 0.1307
Locus472	 0.1610	 0.2007	 0.2186	 0.0473	 0.0819	 0.1643	 0.2328
Locus473	 0.0105	 0.0123	 0.0138	 0.0019	 0.5946	-0.0190	 0.5869
Locus474	 0.0764	 0.1021	 0.1118	 0.0278	 0.3960	 0.0554	 0.4295
Locus475	 0.0063	 0.0077	 0.0085	 0.0014	 0.0401	 0.0060	 0.0459
Locus476	 0.1042	 0.1585	 0.1708	 0.0606	 0.0946	 0.1066	 0.1911
Locus477	 0.0635	 0.0759	 0.0842	 0.0132	 0.5138	 0.0530	 0.5396
Locus478	 0.2193	 0.3577	 0.3772	 0.1773	 0.1637	 0.2439	 0.3677
Locus479	 0.0307	 0.0447	 0.0489	 0.0144	-0.0101	 0.0386	 0.0289
Locus480	 0.0136	 0.0160	 0.0179	 0.0024	 0.6507	-0.0190	 0.6440
Locus481	 0.0153	 0.0325	 0.0347	 0.0175	 0.2287	 0.0053	 0.2328
Locus482	 0.1161	 0.1359	 0.1500	 0.0223	 0.6116	 0.0934	 0.6478
Locus483	-0.0163	-0.0244	-0.0268	-0.0080	 0.2634	-0.0310	 0.2406
Locus484	 0.0770	 0.1457	 0.1550	 0.0745	 0.1844	 0.0816	 0.2510
Locus485	 0.0725	 0.1438	 0.1526	 0.0769	-0.1278	 0.0780	-0.0399
Locus486	-0.0033	-0.0044	-0.0049	-0.0011	 0.2873	-0.0203	 0.2728
Locus487	-0.0019	-0.0040	-0.0043	-0.0021	 0.3913	-0.0234	 0.3770
Locus488	-0.0119	-0.0189	-0.0206	-0.0069	-0.0373	-0.0128	-0.0506
Locus489	 0.1026	 0.1868	 0.1985	 0.0938	-0.0388	 0.1197	 0.0855
Locus490	 0.0025	 0.0038	 0.0042	 0.0013	 0.2302	-0.0117	 0.2212
Locus491	 0.0315	 0.0454	 0.0497	 0.0144	 0.3457	 0.0149	 0.3555
Locus492	 0.0502	 0.0574	 0.0641	 0.0077	-0.1257	 0.0597	-0.0585
Locus493	 0.0471	 0.0649	 0.0711	 0.0186	 0.2316	 0.0460	 0.2670
Locus494	 0.0047	 0.0093	 0.0100	 0.0046	 0.3658	-0.0147	 0.3565
Locus495	 0.0645	 0.0803	 0.0887	 0.0169	 0.6151	 0.0457	 0.6327
Locus496	 0.0266	 0.0292	 0.0329	 0.0026	-0.0701	 0.0308	-0.0372
Locus497	 0.0105	 0.0159	 0.0174	 0.0055	-0.0233	 0.0150	-0.0080
Locus498	-0.0319	-0.0577	-0.0626	-0.0251	 0.2209	-0.0469	 0.1844
Locus499	 0.0105	 0.0122	 0.0137	 0.0018	 0.6514	-0.0234	 0.6433
Locus500	 0.0637	 0.0833	 0.0916	 0.0209	 0.4949	 0.0404	 0.5153
Locus501	-0.0101	-0.0138	-0.0153	-0.0037	-0.0544	-0.0091	-0.0639
Locus502	 0.0994	 0.1913	 0.2026	 0.1020	 0.2776	 0.0894	 0.3422
Locus503	 0.0528	 0.0638	 0.0708	 0.0116	 0.7217	 0.0182	 0.7268
Locus504	 0.0312	 0.0374	 0.0417	 0.0065	 0.6878	 0.0122	 0.6916
Locus505	 0.0710	 0.0911	 0.1003	 0.0217	 0.6466	 0.0484	 0.6637
Locus506	 0.1602	 0.2369	 0.2539	 0.0913	 0.2198	 0.1671	 0.3502
Locus507	 0.1010	 0.1225	 0.1350	 0.0239	 0.4469	 0.0904	 0.4969
Locus508	 0.0290	 0.0604	 0.0643	 0.0324	-0.1714	 0.0407	-0.1238
Locus509	 0.0691	 0.1202	 0.1288	 0.0549	 0.3762	 0.0506	 0.4078
Locus510	 0.0367	 0.0448	 0.0498	 0.0084	 0.3240	 0.0375	 0.3493
Locus511	-0.0086	-0.0099	-0.0111	-0.0013	 0.3820	-0.0272	 0.3652
Locus512	-0.0062	-0.0109	-0.0118	-0.0047	 0.2450	-0.0215	 0.2288
Locus513	 0.2477	 0.3415	 0.3640	 0.1248	 0.4839	 0.2637	 0.6201
Locus514	 0.1001	 0.1654	 0.1772	 0.0726	 0.3329	 0.0962	 0.3971
Locus515	-0.0258	-0.0558	-0.0598	-0.0293	 0.1074	-0.0357	 0.0755
Locus516	 0.1272	 0.1358	 0.1512	 0.0099	 0.3105	 0.1223	 0.3949
Locus517	 0.0090	 0.0190	 0.0202	 0.0101	 0.0134	 0.0076	 0.0209
Locus518	 0.0899	 0.1022	 0.1136	 0.0135	 0.4823	 0.0774	 0.5224
Locus519	 0.1004	 0.1888	 0.2002	 0.0982	 0.5217	 0.0835	 0.5616
Locus520	 0.0787	 0.1095	 0.1194	 0.0335	 0.0658	 0.0873	 0.1474
Locus521	-0.0267	-0.0398	-0.0438	-0.0127	 0.2092	-0.0402	 0.1775
Locus522	 0.0728	 0.0879	 0.0973	 0.0164	 0.2696	 0.0704	 0.3210
Locus523	 0.0127	 0.0143	 0.0160	 0.0016	 0.6577	-0.0195	 0.6510
Locus524	 0.0055	 0.0085	 0.0093	 0.0030	-0.1074	 0.0137	-0.0922
Locus525	-0.0065	-0.0129	-0.0138	-0.0063	 0.3889	-0.0292	 0.3711
Locus526	-0.0141	-0.0189	-0.0210	-0.0048	-0.0385	-0.0149	-0.0539
Locus527	-0.0014	-0.0016	-0.0018	-0.0002	 0.4319	-0.0278	 0.4161
Locus528	 0.2744	 0.3520	 0.3765	 0.1070	 0.2171	 0.3020	 0.4536
Locus529	 0.0153	 0.0206	 0.0227	 0.0054	 0.5865	-0.0067	 0.5838
Locus530	 0.0474	 0.0965	 0.1026	 0.0515	 0.1442	 0.0477	 0.1851
Locus531	-0.0076	-0.0117	-0.0128	-0.0041	 0.0565	-0.0102	 0.0468
Locus532	 0.0144	 0.0170	 0.0190	 0.0026	 0.4261	-0.0094	 0.4207
Locus533	 0.0722	 0.0817	 0.0911	 0.0102	 0.0687	 0.0780	 0.1413
Locus534	 0.0561	 0.0664	 0.0738	 0.0110	 0.3566	 0.0471	 0.3869
Locus535	 0.0678	 0.0800	 0.0888	 0.0131	 0.5651	 0.0539	 0.5885
Locus536	 0.0211	 0.0284	 0.0313	 0.0075	 0.1234	 0.0197	 0.1406
Locus537	 0.0054	 0.0065	 0.0072	 0.0011	 0.2089	-0.0073	 0.2032
Locus538	 0.0945	 0.1352	 0.1467	 0.0449	 0.5265	 0.0948	 0.5714
Locus539	-0.0088	-0.0107	-0.0120	-0.0019	 0.0664	-0.0099	 0.0572
Locus540	 0.0105	 0.0122	 0.0137	 0.0017	 0.1214	 0.0124	 0.1323
Locus541	-0.0258	-0.0444	-0.0483	-0.0181	 0.2325	-0.0401	 0.2016
Locus542	 0.0226	 0.0443	 0.0473	 0.0222	-0.2864	 0.0417	-0.2328
Locus543	 0.0399	 0.0510	 0.0564	 0.0116	 0.4294	 0.0189	 0.4402
Locus544	 0.1052	 0.1190	 0.1320	 0.0154	 0.0205	 0.1279	 0.1458
Locus545	 0.0124	 0.0144	 0.0161	 0.0020	 0.1054	 0.0091	 0.1136
Locus546	-0.0351	-0.0735	-0.0789	-0.0371	 0.3441	-0.0574	 0.3064
Locus547	 0.0573	 0.0710	 0.0785	 0.0145	 0.0740	 0.0593	 0.1289
Locus548	 0.1145	 0.1335	 0.1474	 0.0215	 0.6644	 0.0904	 0.6947
Locus549	 0.0418	 0.0723	 0.0778	 0.0318	-0.1158	 0.0547	-0.0547
Locus550	 0.0312	 0.0607	 0.0649	 0.0305	 0.1781	 0.0307	 0.2034
Locus551	 0.0368	 0.0400	 0.0450	 0.0033	 0.2394	 0.0319	 0.2636
Locus552	 0.0642	 0.1063	 0.1144	 0.0450	 0.1130	 0.0726	 0.1774
Locus553	 0.2243	 0.3620	 0.3818	 0.1775	 0.4126	 0.2311	 0.5483
Locus554	 0.0763	 0.1214	 0.1308	 0.0488	 0.2649	 0.0723	 0.3180
Locus555	 0.0328	 0.0606	 0.0649	 0.0287	 0.0646	 0.0396	 0.1017
Locus556	-0.0129	-0.0273	-0.0292	-0.0142	 0.2778	-0.0297	 0.2564
Locus557	 0.0722	 0.1379	 0.1467	 0.0708	 0.2698	 0.0677	 0.3192
Locus558	-0.0021	-0.0038	-0.0041	-0.0017	-0.1903	 0.0055	-0.1837
Locus559	 0.0363	 0.0514	 0.0563	 0.0157	 0.3284	 0.0251	 0.3453
Locus560	 0.0151	 0.0305	 0.0326	 0.0156	 0.1153	-0.0018	 0.1138
Locus561	 0.1133	 0.1296	 0.1435	 0.0184	 0.0275	 0.1216	 0.1457
Locus562	 0.0481	 0.0547	 0.0612	 0.0069	 0.3017	 0.0389	 0.3289
Locus563	 0.0516	 0.1025	 0.1091	 0.0537	 0.3632	 0.0432	 0.3907
Locus564	-0.0074	-0.0105	-0.0116	-0.0031	-0.0014	-0.0091	-0.0105
Locus565	 0.0488	 0.0556	 0.0622	 0.0071	 0.5631	 0.0402	 0.5807
Locus566	 0.0234	 0.0483	 0.0515	 0.0255	 0.1291	 0.0215	 0.1479
Locus567	 0.0376	 0.0449	 0.0500	 0.0076	 0.1777	 0.0358	 0.2071
Locus568	 0.0998	 0.1456	 0.1576	 0.0508	 0.5012	 0.0824	 0.5423
Locus569	 0.0943	 0.1791	 0.1900	 0.0937	 0.5137	 0.0799	 0.5525
Locus570	 0.0264	 0.0401	 0.0437	 0.0140	 0.2266	 0.0216	 0.2433
Locus571	-0.0221	-0.0408	-0.0441	-0.0182	 0.2846	-0.0392	 0.2566
Locus572	 0.0457	 0.0936	 0.0995	 0.0502	 0.2147	 0.0438	 0.2491
Locus573	 0.0175	 0.0194	 0.0218	 0.0020	 0.2105	 0.0122	 0.2201
Locus574	 0.1039	 0.1163	 0.1292	 0.0138	 0.7724	 0.0842	 0.7915
Locus575	-0.0056	-0.0063	-0.0071	-0.0008	 0.1665	-0.0117	 0.1567
Locus576	 0.0044	 0.0095	 0.0101	 0.0051	-0.0959	 0.0095	-0.0855
Locus577	 0.0544	 0.0616	 0.0688	 0.0077	 0.2978	 0.0443	 0.3289
Locus578	 0.0863	 0.1448	 0.1552	 0.0639	 0.2649	 0.0810	 0.3245
Locus579	 0.0104	 0.0123	 0.0137	 0.0019	 0.0708	 0.0065	 0.0768
Locus580	 0.0019	 0.0022	 0.0025	 0.0002	 0.1847	-0.0031	 0.1822
Locus581	 0.0773	 0.1321	 0.1416	 0.0594	 0.4217	 0.0741	 0.4646
Locus582	 0.0245	 0.0390	 0.0423	 0.0149	-0.0446	 0.0365	-0.0065
Locus583	 0.0034	 0.0040	 0.0044	 0.0006	 0.0925	 0.0013	 0.0937
Locus584	 0.1167	 0.2016	 0.2146	 0.0961	 0.2296	 0.1208	 0.3227
Locus585	 0.0249	 0.0297	 0.0331	 0.0049	 0.2409	 0.0203	 0.2563
Locus586	-0.0023	-0.0038	-0.0041	-0.0015	 0.3276	-0.0177	 0.3158
Locus587	 0.1209	 0.1393	 0.1539	 0.0209	 0.8041	 0.1032	 0.8243
Locus588	 0.0579	 0.1162	 0.1234	 0.0619	 0.0495	 0.0662	 0.1124
Locus589	 0.0717	 0.1373	 0.1460	 0.0706	 0.5146	 0.0532	 0.5405
Locus590	 0.1301	 0.1704	 0.1855	 0.0464	 0.2915	 0.1318	 0.3848
Locus591	 0.0483	 0.0747	 0.0811	 0.0278	 0.1522	 0.0463	 0.1914
Locus592	 0.0390	 0.0642	 0.0694	 0.0262	 0.1004	 0.0364	 0.1331
Locus593	 0.0317	 0.0451	 0.0494	 0.0138	 0.1813	 0.0307	 0.2065
Locus594	-0.0094	-0.0178	-0.0192	-0.0083	 0.4114	-0.0348	 0.3910
Locus595	 0.0596	 0.0891	 0.0967	 0.0313	 0.4667	 0.0411	 0.4887
Locus596	-0.0117	-0.0252	-0.0269	-0.0133	 0.0004	-0.0113	-0.0109
Locus597	-0.0208	-0.0316	-0.0347	-0.0105	-0.0504	-0.0217	-0.0732
Locus598	 0.0503	 0.0679	 0.0746	 0.0186	 0.2592	 0.0405	 0.2892
Locus599	 0.0052	 0.0085	 0.0092	 0.0034	 0.0706	 0.0002	 0.0708
Locus600	-0.0298	-0.0377	-0.0421	-0.0077	 0.1703	-0.0426	 0.1349
Locus601	 0.0471	 0.0595	 0.0657	 0.0130	 0.0869	 0.0444	 0.1274
Locus602	 0.1225	 0.1629	 0.1773	 0.0460	 0.7416	 0.1080	 0.7695
Locus603	-0.0244	-0.0418	-0.0454	-0.0169	 0.0078	-0.0285	-0.0205
Locus604	 0.0241	 0.0278	 0.0311	 0.0038	 0.5164	 0.0076	 0.5201
Locus605	 0.0130	 0.0167	 0.0186	 0.0038	 0.1917	 0.0071	 0.1974
Locus606	 0.1505	 0.2100	 0.2266	 0.0700	 0.5384	 0.1388	 0.6025
Locus607	 0.1656	 0.3006	 0.3168	 0.1618	-0.0649	 0.1815	 0.1284
Locus608	 0.0054	 0.0073	 0.0081	 0.0020	 0.2875	-0.0090	 0.2811
Locus609	 0.0363	 0.0752	 0.0800	 0.0404	-0.0912	 0.0390	-0.0487
Locus610	 0.0059	 0.0080	 0.0089	 0.0022	-0.0760	 0.0139	-0.0611
Locus611	 0.0298	 0.0553	 0.0593	 0.0262	 0.4668	 0.0111	 0.4727
Locus612	 0.0207	 0.0293	 0.0322	 0.0088	 0.3432	 0.0027	 0.3450
Locus613	 0.0599	 0.0731	 0.0810	 0.0141	 0.1268	 0.0644	 0.1830
Locus614	 0.0060	 0.0071	 0.0080	 0.0011	 0.2317	-0.0024	 0.2299
Locus615	 0.0716	 0.0992	 0.1083	 0.0297	 0.5224	 0.0608	 0.5514
Locus616	 0.0065	 0.0096	 0.0105	 0.0031	 0.0135	 0.0045	 0.0179
Locus617	 0.0190	 0.0238	 0.0265	 0.0049	 0.1321	 0.0093	 0.1402
Locus618	 0.3596	 0.4387	 0.4661	 0.1235	-0.1026	 0.3997	 0.3381
Locus619	 0.1019	 0.1671	 0.1791	 0.0725	 0.0914	 0.1111	 0.1924
Locus620	 0.0154	 0.0198	 0.0220	 0.0044	 0.4757	-0.0035	 0.4739
Locus621	 0.0418	 0.0473	 0.0530	 0.0058	 0.1030	 0.0390	 0.1380
Locus622	 0.0121	 0.0142	 0.0159	 0.0021	 0.4691	-0.0043	 0.4668
Locus623	 0.0292	 0.0329	 0.0369	 0.0038	 0.6512	-0.0010	 0.6508
Locus624	 0.0264	 0.0387	 0.0423	 0.0126	 0.0695	 0.0290	 0.0964
Locus625	-0.0149	-0.0205	-0.0227	-0.0056	-0.0541	-0.0135	-0.0683
Locus626	 0.0760	 0.1017	 0.1113	 0.0278	 0.2710	 0.0807	 0.3299
Locus627	 0.1046	 0.1481	 0.1607	 0.0486	 0.7042	 0.0849	 0.7293
Locus628	 0.0654	 0.1206	 0.1287	 0.0591	 0.1073	 0.0774	 0.1764
Locus629	 0.1265	 0.2165	 0.2304	 0.1030	 0.2108	 0.1425	 0.3233
Locus630	-0.0119	-0.0184	-0.0202	-0.0065	-0.0844	-0.0100	-0.0953
Locus631	 0.0062	 0.0082	 0.0091	 0.0020	 0.0520	 0.0078	 0.0593
Locus632	 0.0520	 0.0562	 0.0632	 0.0045	 0.5454	 0.0295	 0.5588
Locus633	 0.0555	 0.0621	 0.0695	 0.0070	 0.3429	 0.0451	 0.3725
Locus634	 0.0094	 0.0168	 0.0181	 0.0074	 0.4488	-0.0111	 0.4426
Locus635	 0.1836	 0.3293	 0.3464	 0.1785	 0.0831	 0.1611	 0.2307
Locus636	 0.0002	 0.0002	 0.0003	 0.0001	-0.0045	 0.0036	-0.0009
Locus637	 0.0635	 0.0946	 0.1027	 0.0331	 0.4417	 0.0363	 0.4620
Locus638	-0.0287	-0.0526	-0.0569	-0.0232	 0.0860	-0.0375	 0.0517
Locus639	 0.0056	 0.0119	 0.0127	 0.0064	 0.4877	-0.0178	 0.4785
Locus640	 0.0155	 0.0175	 0.0196	 0.0020	 0.5842	-0.0143	 0.5782
Locus641	 0.0196	 0.0357	 0.0383	 0.0164	 0.2870	 0.0083	 0.2929
Locus642	-0.0160	-0.0273	-0.0297	-0.0112	-0.0824	-0.0130	-0.0965
Locus643	 0.0089	 0.0184	 0.0197	 0.0096	 0.1555	 0.0052	 0.1599
Locus644	 0.0805	 0.1060	 0.1161	 0.0278	 0.3064	 0.0748	 0.3583
Locus645	 0.0141	 0.0248	 0.0268	 0.0109	 0.0831	 0.0088	 0.0911
Locus646	 0.0128	 0.0141	 0.0159	 0.0014	 0.2155	 0.0055	 0.2199
Locus647	 0.0071	 0.0151	 0.0161	 0.0080	 0.2025	-0.0012	 0.2015
Locus648	 0.0419	 0.0468	 0.0525	 0.0052	 0.1601	 0.0357	 0.1901
Locus649	 0.1223	 0.1904	 0.2043	 0.0776	 0.2435	 0.1348	 0.3454
Locus650	 0.1118	 0.2043	 0.2168	 0.1041	 0.3343	 0.1020	 0.4021
Locus651	 0.1019	 0.1651	 0.1771	 0.0704	 0.1917	 0.1035	 0.2753
Locus652	 0.0932	 0.1053	 0.1170	 0.0133	 0.0581	 0.1131	 0.1646
Locus653	 0.0228	 0.0260	 0.0291	 0.0033	 0.1432	 0.0200	 0.1604
Locus654	 0.0871	 0.1141	 0.1250	 0.0295	 0.3751	 0.0816	 0.4261
Locus655	-0.0194	-0.0297	-0.0325	-0.0101	-0.0696	-0.0165	-0.0872
Locus656	 0.0243	 0.0314	 0.0348	 0.0074	 0.3453	 0.0091	 0.3513
Locus657	-0.0140	-0.0177	-0.0197	-0.0037	 0.1679	-0.0191	 0.1521
Locus658	 0.1662	 0.2059	 0.2243	 0.0475	 0.0578	 0.1880	 0.2349
Locus659	 0.0008	 0.0010	 0.0011	 0.0002	 0.1433	-0.0040	 0.1399
Locus660	 0.0147	 0.0173	 0.0194	 0.0026	 0.4683	-0.0054	 0.4655
Locus661	 0.0437	 0.0576	 0.0635	 0.0145	 0.3601	 0.0343	 0.3820
Locus662	 0.1490	 0.1986	 0.2153	 0.0583	 0.2287	 0.1423	 0.3385
Locus663	 0.0271	 0.0339	 0.0376	 0.0069	 0.5894	-0.0040	 0.5878
Locus664	 0.0417	 0.0493	 0.0549	 0.0080	 0.5011	 0.0357	 0.5189
