Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus174	 0.0821	 0.0008	 0.1273
Locus175	 0.0363	-0.0197	 0.1116
Locus176	 0.0200	-0.0121	 0.0669
Locus177	 0.3532	 0.2329	 0.4834
Locus178	 0.0111	-0.0523	 0.0724
Locus179	 0.0253	-0.0200	 0.0858
Locus180	 0.0146	-0.0203	 0.0590
Locus181	-0.0051	-0.0462	 0.0982
Locus182	 0.0693	 0.0101	 0.1112
Locus183	 0.0843	 0.0214	 0.2054
Locus184	 0.1542	 0.0684	 0.2549
Locus185	 0.1117	 0.0452	 0.2186
Locus186	 0.0948	 0.0303	 0.1499
Locus187	 0.0513	-0.0185	 0.1562
Locus188	 0.0191	-0.0530	 0.1217
Locus189	 0.0188	-0.0384	 0.0692
Locus190	 0.0043	-0.0260	 0.0587
Locus191	 0.0019	-0.0616	 0.0652
Locus192	 0.1538	 0.0067	 0.4144
Locus193	-0.0060	-0.0357	 0.0575
Locus194	 0.0525	-0.0169	 0.0947
Locus195	 0.1202	-0.0170	 0.3197
Locus196	 0.0666	 0.0086	 0.1434
Locus197	 0.0060	-0.0488	 0.0934
Locus198	 0.0217	-0.0166	 0.0967
Locus199	-0.0189	-0.0515	 0.0384
Locus200	 0.2096	 0.1372	 0.2939
Locus201	 0.0247	-0.0153	 0.0814
Locus202	 0.1108	 0.0157	 0.2340
Locus203	 0.0586	-0.0162	 0.1365
Locus204	 0.1402	-0.0087	 0.3207
Locus205	 0.0290	-0.0412	 0.1852
Locus206	 0.0132	-0.0225	 0.0509
Locus207	-0.0263	-0.0535	 0.0257
Locus208	 0.0874	 0.0220	 0.1395
Locus209	-0.0145	-0.0511	 0.0294
Locus210	 0.0840	-0.0077	 0.2452
Locus211	 0.0461	-0.0602	 0.1835
Locus212	-0.0089	-0.0632	 0.0312
Locus213	 0.0392	 0.0057	 0.0755
Locus214	 0.3418	 0.2812	 0.4463
Locus215	 0.0603	 0.0052	 0.1230
Locus216	 0.1512	 0.0326	 0.2375
Locus217	 0.0587	 0.0092	 0.1214
Locus218	 0.1048	 0.0519	 0.1999
Locus219	 0.0014	-0.0444	 0.0348
Locus220	-0.0037	-0.0355	 0.0228
Locus221	 0.1982	 0.1292	 0.2851
Locus222	 0.0399	 0.0159	 0.0722
Locus223	 0.0145	-0.0199	 0.0638
Locus224	 0.2068	 0.1473	 0.2584
Locus225	-0.0164	-0.0736	 0.0728
Locus226	 0.0176	-0.0203	 0.0746
Locus227	-0.0070	-0.0481	 0.0518
Locus228	-0.0007	-0.0472	 0.0487
Locus229	 0.0209	-0.0208	 0.0586
Locus230	 0.0597	 0.0095	 0.0921
Locus231	 0.0398	-0.0194	 0.1205
Locus232	 0.0654	-0.0038	 0.1743
Locus233	 0.0156	-0.0114	 0.0617
Locus234	 0.1508	 0.0715	 0.3042
