Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus365	 0.0024	-0.0092	 0.0255
Locus366	 0.0121	-0.0086	 0.0407
Locus367	 0.0239	 0.0097	 0.0426
Locus368	-0.0026	-0.0151	 0.0187
Locus369	 0.0078	-0.0084	 0.0404
Locus370	 0.0134	-0.0264	 0.0665
Locus371	 0.0027	-0.0179	 0.0278
Locus372	 0.0313	 0.0030	 0.0667
Locus373	-0.0011	-0.0096	 0.0292
Locus374	 0.0066	-0.0550	 0.0877
Locus375	 0.0460	-0.0058	 0.0858
Locus376	 0.0158	-0.0046	 0.0332
Locus377	 0.0079	-0.0091	 0.0289
Locus378	-0.0280	-0.0617	 0.0049
Locus379	 0.0023	-0.0041	 0.0158
Locus380	 0.0194	-0.0553	 0.0833
Locus381	 0.0691	 0.0403	 0.1102
Locus382	 0.0100	-0.0614	 0.1381
Locus383	 0.0647	 0.0066	 0.1227
Locus384	-0.0106	-0.0314	 0.0123
Locus385	 0.0231	-0.0070	 0.0905
Locus386	 0.0078	-0.0089	 0.0390
Locus387	 0.0032	-0.0085	 0.0227
Locus388	 0.0024	-0.0022	 0.0087
Locus389	 0.0292	 0.0102	 0.0427
Locus390	 0.0274	 0.0028	 0.0537
Locus391	 0.0033	-0.0036	 0.0112
Locus392	 0.0133	-0.0274	 0.0573
Locus393	 0.0022	-0.0055	 0.0162
Locus394	 0.0134	-0.0037	 0.0385
Locus395	-0.0007	-0.0107	 0.0249
Locus396	 0.0274	-0.0172	 0.0698
Locus397	-0.0030	-0.0175	 0.0138
Locus398	 0.0303	-0.0397	 0.0984
Locus399	 0.0291	-0.0358	 0.1321
Locus400	 0.0505	 0.0073	 0.1100
Locus401	 0.0102	-0.0292	 0.0492
Locus402	 0.1070	 0.0772	 0.1597
Locus403	-0.0017	-0.0142	 0.0233
Locus404	 0.0024	-0.0228	 0.0439
Locus405	 0.0430	-0.0374	 0.1351
Locus406	 0.1669	 0.1114	 0.2148
Locus407	 0.0214	-0.0308	 0.0874
Locus408	-0.0015	-0.0287	 0.0149
Locus409	 0.0817	-0.0194	 0.1729
Locus410	 0.0386	-0.0048	 0.0951
Locus411	 0.0010	-0.0055	 0.0137
Locus412	 0.0114	-0.0004	 0.0243
Locus413	 0.0005	-0.0082	 0.0232
Locus414	 0.0975	 0.0143	 0.1850
Locus415	 0.0204	-0.0039	 0.0428
Locus416	 0.0386	-0.0239	 0.1218
Locus417	 0.0022	-0.0152	 0.0244
Locus418	 0.0154	-0.0039	 0.0411
Locus419	 0.0203	-0.0034	 0.0632
Locus420	 0.0075	-0.0282	 0.0457
Locus421	 0.0104	-0.0106	 0.0286
Locus422	 0.0625	 0.0196	 0.1123
Locus423	 0.0196	-0.0159	 0.0537
Locus424	 0.1255	 0.0667	 0.1943
Locus425	 0.0580	-0.0234	 0.1306
Locus426	-0.0017	-0.0120	 0.0114
Locus427	 0.0149	-0.0059	 0.0312
Locus428	 0.0369	 0.0245	 0.0551
Locus429	 0.1061	 0.0539	 0.1701
Locus430	 0.0410	-0.0208	 0.1393
Locus431	 0.0053	-0.0260	 0.0554
Locus432	 0.0163	 0.0048	 0.0386
Locus433	 0.0077	-0.0102	 0.0563
Locus434	 0.0144	-0.0097	 0.0284
Locus435	 0.0224	 0.0059	 0.0493
Locus436	-0.0098	-0.0263	 0.0196
Locus437	 0.0004	-0.0456	 0.0369
Locus438	 0.0190	-0.0049	 0.0517
Locus439	 0.0053	-0.0109	 0.0317
Locus440	-0.0038	-0.0125	 0.0098
Locus441	-0.0022	-0.0123	 0.0060
Locus442	 0.0036	-0.0092	 0.0265
Locus443	 0.0165	-0.0030	 0.0353
Locus444	 0.0499	 0.0127	 0.1069
Locus445	 0.0205	-0.0207	 0.0663
Locus446	 0.0665	 0.0196	 0.1091
Locus447	-0.0003	-0.0098	 0.0149
Locus448	-0.0053	-0.0209	 0.0164
Locus449	 0.0269	-0.0071	 0.0825
Locus450	-0.0029	-0.0064	 0.0019
Locus451	 0.0014	-0.0048	 0.0156
Locus452	-0.0162	-0.0616	 0.0230
Locus453	 0.0216	 0.0080	 0.0646
Locus454	 0.0371	-0.0051	 0.0913
Locus455	 0.0013	-0.0207	 0.0403
Locus456	 0.0460	 0.0172	 0.0692
Locus457	 0.1042	 0.0505	 0.1736
Locus458	 0.1046	 0.0550	 0.1551
Locus459	 0.0097	-0.0078	 0.0403
Locus460	 0.0449	-0.0123	 0.1093
Locus461	-0.0073	-0.0587	 0.0480
Locus462	 0.0413	 0.0068	 0.1205
Locus463	 0.0009	-0.0081	 0.0224
Locus464	-0.0008	-0.0083	 0.0102
Locus465	 0.0036	-0.0042	 0.0196
Locus466	 0.0002	-0.0046	 0.0095
Locus467	 0.0113	-0.0081	 0.0679
Locus468	 0.0539	-0.0109	 0.1032
Locus469	 0.0301	-0.0011	 0.0569
Locus470	-0.0173	-0.0333	 0.0082
Locus471	-0.0016	-0.0110	 0.0114
Locus472	 0.0473	 0.0038	 0.0999
Locus473	 0.0019	-0.0153	 0.0195
Locus474	 0.0278	 0.0142	 0.0572
Locus475	 0.0014	-0.0035	 0.0066
Locus476	 0.0606	 0.0045	 0.1429
Locus477	 0.0132	-0.0034	 0.0656
Locus478	 0.1773	 0.1024	 0.2439
Locus479	 0.0144	-0.0092	 0.0577
Locus480	 0.0024	-0.0067	 0.0144
Locus481	 0.0175	-0.0297	 0.0810
Locus482	 0.0223	 0.0020	 0.0584
Locus483	-0.0080	-0.0274	 0.0282
Locus484	 0.0745	 0.0167	 0.1328
Locus485	 0.0769	 0.0468	 0.1050
Locus486	-0.0011	-0.0119	 0.0151
Locus487	-0.0021	-0.0727	 0.0675
Locus488	-0.0069	-0.0224	 0.0190
Locus489	 0.0938	 0.0566	 0.1419
Locus490	 0.0013	-0.0213	 0.0231
Locus491	 0.0144	-0.0387	 0.0883
Locus492	 0.0077	-0.0012	 0.0175
Locus493	 0.0186	-0.0002	 0.0491
Locus494	 0.0046	-0.0455	 0.0449
Locus495	 0.0169	-0.0158	 0.0623
Locus496	 0.0026	-0.0037	 0.0200
Locus497	 0.0055	-0.0149	 0.0227
Locus498	-0.0251	-0.0412	-0.0094
Locus499	 0.0018	-0.0087	 0.0349
Locus500	 0.0209	-0.0039	 0.0483
Locus501	-0.0037	-0.0195	 0.0187
Locus502	 0.1020	 0.0193	 0.1830
Locus503	 0.0116	-0.0130	 0.0390
Locus504	 0.0065	-0.0031	 0.0215
Locus505	 0.0217	-0.0085	 0.0506
Locus506	 0.0913	 0.0294	 0.1735
Locus507	 0.0239	-0.0045	 0.0598
Locus508	 0.0324	-0.0085	 0.0837
Locus509	 0.0549	-0.0093	 0.0928
Locus510	 0.0084	-0.0079	 0.0300
Locus511	-0.0013	-0.0099	 0.0141
Locus512	-0.0047	-0.0427	 0.0280
Locus513	 0.1248	 0.0538	 0.2099
Locus514	 0.0726	 0.0023	 0.1310
Locus515	-0.0293	-0.0752	 0.0191
Locus516	 0.0099	-0.0064	 0.0324
Locus517	 0.0101	-0.0254	 0.0454
Locus518	 0.0135	-0.0107	 0.0436
Locus519	 0.0982	-0.0250	 0.2153
Locus520	 0.0335	-0.0129	 0.1043
Locus521	-0.0127	-0.0256	 0.0072
Locus522	 0.0164	-0.0045	 0.0463
Locus523	 0.0016	-0.0043	 0.0166
Locus524	 0.0030	-0.0184	 0.0292
Locus525	-0.0063	-0.0384	 0.0434
Locus526	-0.0048	-0.0238	 0.0345
Locus527	-0.0002	-0.0055	 0.0076
Locus528	 0.1070	 0.0644	 0.1544
Locus529	 0.0054	-0.0096	 0.0303
Locus530	 0.0515	-0.0058	 0.1049
Locus531	-0.0041	-0.0206	 0.0214
Locus532	 0.0026	-0.0093	 0.0389
Locus533	 0.0102	-0.0006	 0.0271
Locus534	 0.0110	-0.0056	 0.0317
Locus535	 0.0131	-0.0102	 0.0413
Locus536	 0.0075	-0.0106	 0.0404
Locus537	 0.0011	-0.0066	 0.0216
Locus538	 0.0449	-0.0292	 0.1259
Locus539	-0.0019	-0.0102	 0.0207
Locus540	 0.0017	-0.0055	 0.0153
Locus541	-0.0181	-0.0446	 0.0146
Locus542	 0.0222	-0.0234	 0.0823
Locus543	 0.0116	-0.0013	 0.0230
Locus544	 0.0154	-0.0028	 0.0346
Locus545	 0.0020	-0.0073	 0.0254
Locus546	-0.0371	-0.0770	 0.0256
Locus547	 0.0145	 0.0022	 0.0270
Locus548	 0.0215	-0.0022	 0.0694
Locus549	 0.0318	 0.0118	 0.0495
Locus550	 0.0305	-0.0252	 0.0720
Locus551	 0.0033	-0.0037	 0.0149
Locus552	 0.0450	 0.0082	 0.0949
Locus553	 0.1775	 0.0975	 0.2414
Locus554	 0.0488	-0.0130	 0.1496
Locus555	 0.0287	 0.0033	 0.0672
Locus556	-0.0142	-0.0468	 0.0221
Locus557	 0.0708	 0.0200	 0.1270
Locus558	-0.0017	-0.0316	 0.0583
Locus559	 0.0157	-0.0190	 0.0658
Locus560	 0.0156	-0.0333	 0.0805
Locus561	 0.0184	-0.0078	 0.0467
Locus562	 0.0069	-0.0028	 0.0390
Locus563	 0.0537	-0.0258	 0.1455
Locus564	-0.0031	-0.0203	 0.0091
Locus565	 0.0071	-0.0119	 0.0499
Locus566	 0.0255	-0.0113	 0.0902
Locus567	 0.0076	-0.0127	 0.0298
Locus568	 0.0508	 0.0039	 0.1333
Locus569	 0.0937	 0.0170	 0.1468
Locus570	 0.0140	-0.0095	 0.0435
Locus571	-0.0182	-0.0589	 0.0512
Locus572	 0.0502	 0.0105	 0.0919
Locus573	 0.0020	-0.0064	 0.0098
Locus574	 0.0138	-0.0048	 0.0488
Locus575	-0.0008	-0.0052	 0.0030
Locus576	 0.0051	-0.0396	 0.0665
Locus577	 0.0077	-0.0070	 0.0435
Locus578	 0.0639	 0.0335	 0.0951
Locus579	 0.0019	-0.0032	 0.0120
Locus580	 0.0002	-0.0032	 0.0096
Locus581	 0.0594	 0.0156	 0.1084
Locus582	 0.0149	-0.0198	 0.0450
Locus583	 0.0006	-0.0097	 0.0192
Locus584	 0.0961	 0.0300	 0.1927
Locus585	 0.0049	-0.0097	 0.0213
Locus586	-0.0015	-0.0350	 0.0488
Locus587	 0.0209	 0.0088	 0.0361
Locus588	 0.0619	 0.0130	 0.1139
Locus589	 0.0706	 0.0011	 0.1890
Locus590	 0.0464	 0.0045	 0.1138
Locus591	 0.0278	 0.0002	 0.0612
Locus592	 0.0262	-0.0021	 0.0527
Locus593	 0.0138	-0.0115	 0.0626
Locus594	-0.0083	-0.0435	 0.0257
Locus595	 0.0313	-0.0129	 0.0856
Locus596	-0.0133	-0.0596	 0.0771
Locus597	-0.0105	-0.0293	 0.0132
Locus598	 0.0186	-0.0117	 0.0408
Locus599	 0.0034	-0.0237	 0.0567
Locus600	-0.0077	-0.0138	 0.0037
Locus601	 0.0130	-0.0016	 0.0302
Locus602	 0.0460	 0.0004	 0.1405
Locus603	-0.0169	-0.0360	 0.0060
Locus604	 0.0038	-0.0120	 0.0244
Locus605	 0.0038	-0.0059	 0.0181
Locus606	 0.0700	 0.0230	 0.1405
Locus607	 0.1618	 0.1019	 0.2024
Locus608	 0.0020	-0.0217	 0.0365
Locus609	 0.0404	-0.0185	 0.0951
Locus610	 0.0022	-0.0155	 0.0175
Locus611	 0.0262	-0.0391	 0.0870
Locus612	 0.0088	-0.0048	 0.0299
Locus613	 0.0141	-0.0010	 0.0296
Locus614	 0.0011	-0.0075	 0.0152
Locus615	 0.0297	-0.0077	 0.0908
Locus616	 0.0031	-0.0119	 0.0208
Locus617	 0.0049	-0.0073	 0.0300
Locus618	 0.1235	 0.0496	 0.1960
Locus619	 0.0725	 0.0239	 0.1231
Locus620	 0.0044	-0.0082	 0.0251
Locus621	 0.0058	-0.0040	 0.0160
Locus622	 0.0021	-0.0052	 0.0082
Locus623	 0.0038	-0.0081	 0.0229
Locus624	 0.0126	-0.0044	 0.0246
Locus625	-0.0056	-0.0255	 0.0245
Locus626	 0.0278	-0.0033	 0.0770
Locus627	 0.0486	-0.0084	 0.1349
Locus628	 0.0591	 0.0085	 0.1218
Locus629	 0.1030	 0.0634	 0.1601
Locus630	-0.0065	-0.0199	 0.0157
Locus631	 0.0020	-0.0208	 0.0468
Locus632	 0.0045	 0.0001	 0.0098
Locus633	 0.0070	-0.0036	 0.0179
Locus634	 0.0074	-0.0526	 0.0925
Locus635	 0.1785	 0.1191	 0.2296
Locus636	 0.0001	-0.0234	 0.0350
Locus637	 0.0331	-0.0120	 0.1020
Locus638	-0.0232	-0.0490	 0.0241
Locus639	 0.0064	-0.0482	 0.0448
Locus640	 0.0020	-0.0053	 0.0204
Locus641	 0.0164	-0.0376	 0.0891
Locus642	-0.0112	-0.0427	 0.0317
Locus643	 0.0096	-0.0355	 0.0615
Locus644	 0.0278	-0.0109	 0.1086
Locus645	 0.0109	-0.0215	 0.0607
Locus646	 0.0014	-0.0030	 0.0094
Locus647	 0.0080	-0.0700	 0.0679
Locus648	 0.0052	-0.0018	 0.0178
Locus649	 0.0776	 0.0157	 0.1586
Locus650	 0.1041	 0.0367	 0.1757
Locus651	 0.0704	 0.0090	 0.1281
Locus652	 0.0133	 0.0078	 0.0213
Locus653	 0.0033	-0.0051	 0.0228
Locus654	 0.0295	 0.0068	 0.0619
Locus655	-0.0101	-0.0238	 0.0023
Locus656	 0.0074	-0.0084	 0.0338
Locus657	-0.0037	-0.0133	 0.0185
Locus658	 0.0475	 0.0232	 0.0813
Locus659	 0.0002	-0.0072	 0.0127
Locus660	 0.0026	-0.0093	 0.0217
Locus661	 0.0145	 0.0024	 0.0393
Locus662	 0.0583	 0.0209	 0.1059
Locus663	 0.0069	-0.0091	 0.0294
Locus664	 0.0080	-0.0118	 0.0322
Locus665	 0.0105	-0.0080	 0.0278
Locus666	 0.0833	 0.0401	 0.1244
Locus667	-0.0218	-0.0600	 0.0108
Locus668	 0.0394	 0.0017	 0.1044
Locus669	 0.0043	-0.0177	 0.0357
Locus670	 0.0030	-0.0067	 0.0166
Locus671	 0.0918	 0.0324	 0.1632
Locus672	-0.0111	-0.0349	 0.0221
Locus673	-0.0060	-0.0364	 0.0381
Locus674	 0.0095	-0.0092	 0.0348
Locus675	 0.0023	-0.0116	 0.0214
Locus676	 0.0314	-0.0076	 0.0673
Locus677	 0.0625	 0.0234	 0.1067
Locus678	-0.0332	-0.0469	-0.0080
Locus679	 0.0393	-0.0017	 0.0757
Locus680	 0.0000	-0.0235	 0.0310
Locus681	 0.0067	-0.0100	 0.0233
Locus682	-0.0001	-0.0107	 0.0193
Locus683	 0.0300	 0.0105	 0.0553
Locus684	-0.0060	-0.0614	 0.0565
Locus685	 0.0040	-0.0119	 0.0349
Locus686	-0.0063	-0.0285	 0.0313
Locus687	 0.0018	-0.0073	 0.0180
Locus688	 0.0000	-0.0044	 0.0060
Locus689	 0.0154	-0.0476	 0.0894
Locus690	 0.0135	-0.0074	 0.0389
Locus691	 0.0064	-0.0305	 0.0693
Locus692	 0.0243	 0.0049	 0.0593
Locus693	 0.0449	 0.0074	 0.0703
Locus694	 0.0759	 0.0288	 0.1416
Locus695	 0.0080	-0.0044	 0.0262
Locus696	 0.0497	-0.0081	 0.1164
Locus697	 0.0585	-0.0065	 0.1532
Locus698	 0.0000	-0.0084	 0.0124
Locus699	-0.0105	-0.0341	 0.0099
Locus700	 0.0088	-0.0059	 0.0313
Locus701	 0.0082	-0.0237	 0.0298
Locus702	 0.0018	-0.0216	 0.0231
Locus703	 0.0406	-0.0162	 0.0991
Locus704	 0.0228	-0.0086	 0.0740
Locus705	 0.0170	-0.0010	 0.0341
Locus706	 0.0259	-0.0117	 0.0861
Locus707	 0.0476	 0.0154	 0.0894
Locus708	 0.1613	 0.0843	 0.2879
Locus709	 0.0008	-0.0091	 0.0256
Locus710	 0.0256	 0.0023	 0.0518
Locus711	 0.0094	 0.0001	 0.0255
Locus712	-0.0100	-0.0249	 0.0110
Locus713	 0.0767	 0.0490	 0.1260
Locus714	 0.0138	-0.0194	 0.0509
Locus715	 0.0017	-0.0079	 0.0222
Locus716	 0.0014	-0.0036	 0.0096
Locus717	 0.0113	-0.0028	 0.0295
Locus718	 0.0111	-0.0093	 0.0396
Locus719	 0.0147	-0.0185	 0.0665
Locus720	 0.1130	 0.0317	 0.1818
Locus721	 0.0940	 0.0247	 0.1467
Locus722	 0.0172	 0.0023	 0.0318
Locus723	-0.0061	-0.0269	 0.0248
Locus724	 0.0048	 0.0010	 0.0123
Locus725	 0.0209	 0.0026	 0.0460
Locus726	-0.0039	-0.0142	 0.0180
Locus727	 0.1353	 0.0462	 0.2500
Locus728	 0.0036	-0.0133	 0.0628
Locus729	 0.0796	 0.0165	 0.1671
Locus730	 0.0304	-0.0013	 0.0818
Locus731	-0.0037	-0.0177	 0.0182
Locus732	 0.0535	 0.0064	 0.1146
Locus733	 0.0049	-0.0018	 0.0232
Locus734	-0.0014	-0.0051	 0.0049
Locus735	 0.0349	-0.0268	 0.1083
Locus736	 0.0106	-0.0103	 0.0695
Locus737	 0.0095	-0.0038	 0.0321
Locus738	 0.0110	-0.0317	 0.0479
Locus739	 0.0104	-0.0044	 0.0238
Locus740	 0.0148	-0.0008	 0.0327
Locus741	 0.0202	-0.0411	 0.1076
Locus742	-0.0116	-0.0510	 0.0279
Locus743	-0.0008	-0.0322	 0.0493
Locus744	-0.0073	-0.0246	 0.0118
Locus745	 0.0544	 0.0108	 0.0916
Locus746	 0.0351	 0.0136	 0.0563
Locus747	 0.0101	-0.0154	 0.0498
Locus748	 0.0185	-0.0172	 0.0592
Locus749	 0.1548	 0.1127	 0.2024
Locus750	 0.0157	-0.0052	 0.0521
Locus751	 0.0024	-0.0077	 0.0167
Locus752	 0.0027	-0.0635	 0.0535
Locus753	 0.0589	-0.0084	 0.1139
Locus754	 0.0182	-0.0225	 0.0503
Locus755	 0.0005	-0.0066	 0.0089
Locus756	 0.0464	-0.0056	 0.1022
Locus757	-0.0017	-0.0254	 0.0263
Locus758	 0.0020	-0.0410	 0.0425
Locus759	 0.0434	 0.0027	 0.0777
Locus760	 0.0182	-0.0305	 0.0620
Locus761	 0.0195	-0.0032	 0.0423
Locus762	-0.0112	-0.0345	 0.0164
Locus763	 0.0239	 0.0078	 0.0453
Locus764	 0.0021	-0.0084	 0.0180
Locus765	-0.0021	-0.0132	 0.0118
Locus766	 0.0375	 0.0045	 0.0741
Locus767	 0.0039	-0.0304	 0.0255
Locus768	-0.0009	-0.0067	 0.0061
Locus769	 0.0247	 0.0044	 0.0582
Locus770	 0.0206	-0.0748	 0.1165
Locus771	 0.0128	-0.0243	 0.0354
Locus772	 0.0001	-0.0137	 0.0283
Locus773	 0.0681	-0.0189	 0.1183
Locus774	 0.0110	-0.0070	 0.0431
Locus775	 0.0657	 0.0361	 0.1111
Locus776	-0.0129	-0.0495	 0.0292
Locus777	 0.0059	-0.0028	 0.0310
Locus778	 0.0208	 0.0023	 0.0543
Locus779	-0.0066	-0.0252	 0.0331
Locus780	 0.0075	-0.0099	 0.0347
Locus781	 0.0057	-0.0373	 0.0582
Locus782	 0.0098	-0.0044	 0.0396
Locus783	 0.0374	 0.0027	 0.0792
Locus784	 0.0681	 0.0313	 0.1338
Locus785	 0.0059	-0.0172	 0.0291
Locus786	 0.0058	-0.0153	 0.0359
Locus787	 0.0105	 0.0015	 0.0535
Locus788	 0.0158	-0.0297	 0.0683
Locus789	-0.0010	-0.0068	 0.0040
Locus790	 0.1654	 0.1214	 0.1987
Locus791	 0.0058	-0.0044	 0.0220
Locus792	 0.0865	 0.0389	 0.1599
Locus793	-0.0147	-0.0795	 0.0669
Locus794	 0.0115	-0.0026	 0.0496
Locus795	 0.0248	-0.0004	 0.0816
Locus796	 0.0001	-0.0116	 0.0093
Locus797	-0.0037	-0.0295	 0.0324
Locus798	 0.0308	 0.0002	 0.0767
Locus799	 0.0343	-0.0008	 0.0846
Locus800	 0.0933	 0.0486	 0.1452
Locus801	 0.0141	-0.0118	 0.0541
Locus802	 0.0094	-0.0392	 0.0737
Locus803	 0.0380	-0.0147	 0.0765
Locus804	 0.0384	 0.0091	 0.0933
Locus805	 0.0058	-0.0094	 0.0347
Locus806	 0.0239	-0.0058	 0.0481
Locus807	 0.0116	-0.0057	 0.0282
Locus808	 0.0175	-0.0082	 0.0540
Locus809	 0.1342	 0.0945	 0.2042
Locus810	 0.0299	-0.0011	 0.1069
Locus811	 0.0276	 0.0143	 0.0423
Locus812	 0.0086	-0.0048	 0.0235
Locus813	 0.0100	-0.0113	 0.0420
Locus814	-0.0134	-0.0315	 0.0117
Locus815	 0.0040	-0.0012	 0.0110
Locus816	 0.1352	 0.0745	 0.1734
Locus817	 0.0257	 0.0064	 0.0690
Locus818	 0.0119	 0.0045	 0.0261
Locus819	 0.0347	 0.0007	 0.0718
Locus820	 0.0177	-0.0231	 0.0796
Locus821	 0.0025	-0.0155	 0.0325
Locus822	 0.0237	-0.0086	 0.0669
Locus823	 0.0025	-0.0277	 0.0293
Locus824	 0.1399	 0.0603	 0.2113
Locus825	 0.0274	-0.0018	 0.0468
Locus826	 0.0886	 0.0095	 0.1518
Locus827	 0.0109	-0.0108	 0.0394
Locus828	 0.0120	-0.0003	 0.0360
Locus829	 0.0642	 0.0218	 0.1262
Locus830	 0.0304	 0.0061	 0.0644
Locus831	-0.0007	-0.0127	 0.0129
Locus832	 0.0153	-0.0013	 0.0399
Locus833	 0.0118	-0.0206	 0.0410
Locus834	 0.0019	-0.0046	 0.0070
Locus835	 0.0164	-0.0266	 0.1015
Locus836	 0.2213	 0.1447	 0.2863
Locus837	 0.0184	-0.0493	 0.0647
Locus838	 0.0297	-0.0062	 0.0726
Locus839	 0.0113	-0.0052	 0.0272
Locus840	 0.0050	-0.0345	 0.0602
Locus841	 0.0141	-0.0104	 0.0432
Locus842	 0.0211	-0.0001	 0.0551
Locus843	 0.0338	 0.0006	 0.0757
Locus844	 0.0098	-0.0074	 0.0401
Locus845	-0.0013	-0.0058	 0.0042
Locus846	 0.0017	-0.0302	 0.0392
Locus847	 0.0768	 0.0189	 0.1328
Locus848	-0.0092	-0.0421	 0.0251
Locus849	 0.0843	 0.0463	 0.1299
Locus850	 0.0206	 0.0027	 0.0442
Locus851	-0.0136	-0.0336	 0.0178
Locus852	 0.0175	-0.0055	 0.0518
Locus853	-0.0041	-0.0408	 0.0530
Locus854	 0.0153	-0.0063	 0.0584
Locus855	 0.0168	-0.0124	 0.0946
Locus856	 0.0090	-0.0056	 0.0416
Locus857	 0.0013	-0.0050	 0.0109
Locus858	 0.3018	 0.2535	 0.3513
Locus859	 0.0197	-0.0071	 0.0526
Locus860	 0.0483	 0.0148	 0.0966
Locus861	 0.0160	-0.0069	 0.0363
Locus862	 0.0315	 0.0095	 0.0509
Locus863	 0.0116	-0.0041	 0.0372
Locus864	 0.0351	 0.0031	 0.0856
Locus865	-0.0213	-0.0799	 0.0383
Locus866	-0.0060	-0.0289	 0.0173
Locus867	 0.0064	-0.0034	 0.0187
Locus868	 0.0092	-0.0126	 0.0353
Locus869	-0.0112	-0.0391	 0.0202
Locus870	 0.0128	-0.0177	 0.0649
Locus871	 0.0504	-0.0133	 0.1149
Locus872	 0.0109	-0.0180	 0.0353
Locus873	 0.1104	 0.0541	 0.1801
Locus874	 0.0299	 0.0096	 0.0876
Locus875	 0.0226	-0.0561	 0.0876
Locus876	 0.0111	-0.0065	 0.0507
Locus877	 0.0456	 0.0140	 0.0739
Locus878	 0.0499	 0.0282	 0.0716
Locus879	-0.0024	-0.0089	 0.0114
Locus880	 0.0140	 0.0014	 0.0333
Locus881	 0.0177	 0.0009	 0.0362
Locus882	 0.0076	-0.0067	 0.0231
Locus883	-0.0001	-0.0544	 0.0387
Locus884	 0.0020	-0.0352	 0.0566
Locus885	-0.0013	-0.0067	 0.0056
Locus886	 0.0046	-0.0051	 0.0157
Locus887	 0.0172	 0.0044	 0.0336
Locus888	 0.0181	-0.0189	 0.0470
Locus889	-0.0068	-0.0265	 0.0220
Locus890	 0.0082	-0.0447	 0.0420
Locus891	 0.0185	-0.0499	 0.0681
Locus892	 0.0215	-0.0012	 0.0625
Locus893	 0.0126	-0.0244	 0.0669
Locus894	 0.0068	-0.0071	 0.0346
Locus895	 0.0130	-0.0520	 0.0847
Locus896	 0.0387	 0.0153	 0.0718
Locus897	 0.0020	-0.0157	 0.0239
Locus898	-0.0008	-0.0087	 0.0109
Locus899	 0.1381	 0.0955	 0.2447
Locus900	 0.0197	-0.0282	 0.0886
Locus901	-0.0220	-0.0582	 0.0136
Locus902	 0.0178	-0.0072	 0.0410
Locus903	 0.0057	-0.0228	 0.0495
Locus904	 0.0056	-0.0044	 0.0170
Locus905	 0.0421	 0.0168	 0.0897
Locus906	 0.0797	-0.0002	 0.1526
Locus907	 0.0614	 0.0186	 0.1123
Locus908	 0.0027	-0.0245	 0.0293
Locus909	 0.0041	-0.0071	 0.0286
Locus910	-0.0012	-0.0072	 0.0100
Locus911	-0.0213	-0.0606	 0.0101
Locus912	 0.0433	 0.0071	 0.1068
Locus913	 0.0937	 0.0267	 0.1472
Locus914	-0.0020	-0.0313	 0.0205
Locus915	 0.0084	-0.0124	 0.0330
Locus916	 0.0140	-0.0319	 0.0530
Locus917	 0.0057	-0.0746	 0.1054
Locus918	 0.0380	-0.0122	 0.1083
Locus919	 0.0218	-0.0691	 0.1095
Locus920	 0.0128	-0.0020	 0.0376
Locus921	-0.0001	-0.0068	 0.0070
Locus922	-0.0036	-0.0120	 0.0034
Locus923	 0.0224	-0.0116	 0.0501
Locus924	 0.0041	-0.0057	 0.0209
Locus925	 0.0001	-0.0056	 0.0091
Locus926	 0.0245	-0.0147	 0.0878
Locus927	 0.0037	-0.0175	 0.0354
Locus928	 0.0185	-0.0220	 0.0702
Locus929	 0.0037	-0.0056	 0.0129
Locus930	 0.0052	 0.0001	 0.0211
Locus931	 0.0221	 0.0029	 0.0399
Locus932	-0.0021	-0.0072	 0.0063
Locus933	 0.0052	-0.0135	 0.0260
Locus934	 0.1038	 0.0682	 0.1448
Locus935	-0.0010	-0.0086	 0.0148
Locus936	 0.0138	-0.0375	 0.0426
Locus937	 0.0041	-0.0081	 0.0270
Locus938	 0.0084	-0.0073	 0.0375
Locus939	-0.0011	-0.0174	 0.0329
Locus940	-0.0097	-0.0493	 0.0237
Locus941	 0.0685	-0.0241	 0.1964
Locus942	 0.2320	 0.1501	 0.2846
Locus943	 0.0054	-0.0075	 0.0192
Locus944	 0.0202	-0.0045	 0.0514
Locus945	 0.0003	-0.0135	 0.0166
Locus946	 0.0756	 0.0432	 0.1518
Locus947	 0.0231	-0.0240	 0.0789
Locus948	 0.0139	-0.0139	 0.0481
Locus949	 0.0245	 0.0004	 0.0566
Locus950	 0.0590	-0.0314	 0.1284
Locus951	 0.0448	-0.0664	 0.1453
Locus952	 0.0204	 0.0073	 0.0428
Locus953	 0.0561	 0.0221	 0.1009
Locus954	 0.0279	 0.0075	 0.0482
Locus955	 0.0198	-0.0099	 0.0848
Locus956	 0.0498	 0.0143	 0.0940
Locus957	 0.0372	-0.0126	 0.0918
Locus958	 0.1511	 0.0611	 0.2101
Locus959	 0.0014	-0.0128	 0.0242
Locus960	 0.0046	-0.0239	 0.0294
Locus961	 0.0423	 0.0156	 0.0925
Locus962	 0.0939	 0.0165	 0.1976
Locus963	 0.0083	 0.0005	 0.0287
Locus964	 0.0021	-0.0101	 0.0398
Locus965	 0.0401	-0.0019	 0.1146
Locus966	 0.0187	 0.0038	 0.0539
